,037.CS,054.CS,,,,,,,
,中债总财富(总值)指数,中债企业债总财富(总值)指数,,,,,,,
,涨跌幅(%),涨跌幅(%),,,,,,,
2006/11/21,0,-0.012,1,0.99988,1,0.99988,0.99988,0,
2006/11/22,-0.0562,-0.0641,0.999438,0.999359,0.999438,0.999239077,0.99988,0.000641,
2006/11/23,-0.0865,-0.1183,0.999135,0.998817,0.998573486,0.998056977,0.99988,0.001823242,
2006/11/24,0.0234,0.0843,1.000234,1.000843,0.998807152,0.998898339,0.99988,0.000981779,
2006/11/27,0.0484,-0.1605,1.000484,0.998395,0.999290575,0.997295107,0.99988,0.002585203,
2006/11/28,0.0553,-0.0311,1.000553,0.999689,0.999843183,0.996984949,0.99988,0.002895399,
2006/11/29,-0.0009,0.0894,0.999991,1.000894,0.999834184,0.997876253,0.99988,0.002003987,
2006/11/30,0.0769,0.0763,1.000769,1.000763,1.000603057,0.998637633,0.99988,0.001242516,
2006/12/1,0.0225,0.1364,1.000225,1.001364,1.000828192,0.999999774,0.999999774,0,
2006/12/4,0.0138,0.0441,1.000138,1.000441,1.000966307,1.000440774,1.000440774,0,
2006/12/5,0.0121,0.01,1.000121,1.0001,1.001087423,1.000540818,1.000540818,0,
2006/12/6,0.0224,0.023,1.000224,1.00023,1.001311667,1.000770943,1.000770943,0,
2006/12/7,-0.0423,-0.052,0.999577,0.99948,1.000888112,1.000250542,1.000770943,0.00052,
2006/12/8,-0.1209,-0.1512,0.998791,0.998488,0.999678038,0.998738163,1.000770943,0.002031214,
2006/12/11,0.0441,-0.0291,1.000441,0.999709,1.000118897,0.99844753,1.000770943,0.002321623,
2006/12/12,0.0052,-0.0291,1.000052,0.999709,1.000170903,0.998156982,1.000770943,0.002611947,
2006/12/13,-0.006,0.0271,0.99994,1.000271,1.000110892,0.998427483,1.000770943,0.002341655,
2006/12/14,0.0104,0.0421,1.000104,1.000421,1.000214904,0.99884782,1.000770943,0.001921641,
2006/12/15,0.0579,0.001,1.000579,1.00001,1.000794028,0.998857809,1.000770943,0.00191166,
2006/12/18,-0.0259,0.0361,0.999741,1.000361,1.000534823,0.999218397,1.000770943,0.00155135,
2006/12/19,0.0112,-0.2025,1.000112,0.997975,1.000646883,0.997194979,1.000770943,0.003573209,
2006/12/20,-0.0095,0.0301,0.999905,1.000301,1.000551821,0.997495135,1.000770943,0.003273284,
2006/12/21,-0.0026,0.0241,0.999974,1.000241,1.000525807,0.997735531,1.000770943,0.003033073,
2006/12/22,0.0035,-0.4679,1.000035,0.995321,1.000560825,0.993067127,1.000770943,0.007697881,
2006/12/25,0.0017,0.0565,1.000017,1.000565,1.000577835,0.99362821,1.000770943,0.007137231,
2006/12/26,0.0026,-0.0242,1.000026,0.999758,1.00060385,0.993387752,1.000770943,0.007377503,
2006/12/27,-0.0009,0.0222,0.999991,1.000222,1.000594844,0.993608284,1.000770943,0.007157141,
2006/12/28,0.0501,0.002,1.000501,1.00002,1.001096142,0.993628156,1.000770943,0.007137284,
2006/12/29,-0.0069,0.0534,0.999931,1.000534,1.001027067,0.994158753,1.000770943,0.006607096,
2007/1/4,0.044,0.1149,1.00044,1.001149,1.001467519,0.995301042,1.000770943,0.005465687,
2007/1/5,0.0906,-0.0272,1.000906,0.999728,1.002374848,0.99503032,1.000770943,0.0057362,
2007/1/8,-0.0052,-0.0131,0.999948,0.999869,1.002322725,0.994899971,1.000770943,0.005866449,
2007/1/9,0.0405,-0.2286,1.000405,0.997714,1.002728665,0.99262563,1.000770943,0.008139038,
2007/1/10,0.0612,0.0404,1.000612,1.000404,1.003342335,0.99302665,1.000770943,0.007738327,
2007/1/11,0.0207,0.0242,1.000207,1.000242,1.003550027,0.993266963,1.000770943,0.007498199,
2007/1/12,-0.0405,-0.0202,0.999595,0.999798,1.003143589,0.993066323,1.000770943,0.007698685,
2007/1/15,0.0543,0.0575,1.000543,1.000575,1.003688296,0.993637336,1.000770943,0.007128111,
2007/1/16,0.0628,0.0353,1.000628,1.000353,1.004318613,0.99398809,1.000770943,0.006777628,
2007/1/17,0.0181,-0.006,1.000181,0.99994,1.004500394,0.993928451,1.000770943,0.006837221,
2007/1/18,-0.0189,0.0232,0.999811,1.000232,1.004310544,0.994159042,1.000770943,0.006606807,
2007/1/19,-0.006,0.0322,0.99994,1.000322,1.004250285,0.994479161,1.000770943,0.006286934,
2007/1/22,0.037,0.0514,1.00037,1.000514,1.004621858,0.994990324,1.000770943,0.005776166,
2007/1/23,-0.0224,-0.0775,0.999776,0.999225,1.004396822,0.994219206,1.000770943,0.006546689,
2007/1/24,0,0.0645,1,1.000645,1.004396822,0.994860478,1.000770943,0.005905912,
2007/1/25,0.0086,-0.0443,1.000086,0.999557,1.004483201,0.994419754,1.000770943,0.006346296,
2007/1/26,-0.0163,0.0171,0.999837,1.000171,1.00431947,0.9945898,1.000770943,0.006176381,
2007/1/29,0.0422,0.0544,1.000422,1.000544,1.004743293,0.995130857,1.000770943,0.005635741,
2007/1/30,-0.0894,-0.1168,0.999106,0.998832,1.003845052,0.993968544,1.000770943,0.006797158,
2007/1/31,-0.0499,-0.0413,0.999501,0.999587,1.003344133,0.993558035,1.000770943,0.007207351,
2007/2/1,-0.006,-0.1129,0.99994,0.998871,1.003283933,0.992436308,1.000770943,0.008328214,
2007/2/2,-0.0276,-0.113,0.999724,0.99887,1.003007026,0.991314855,1.000770943,0.009448803,
2007/2/5,-0.0026,0.2779,0.999974,1.002779,1.002980948,0.994069719,1.000770943,0.006696061,
2007/2/6,-0.0525,-0.0927,0.999475,0.999073,1.002454383,0.993148216,1.000770943,0.007616854,
2007/2/7,0.0034,-0.0847,1.000034,0.999153,1.002488467,0.99230702,1.000770943,0.008457403,
2007/2/8,-0.006,-0.003,0.99994,0.99997,1.002428317,0.992277251,1.000770943,0.008487149,
2007/2/9,-0.0509,-0.1201,0.999491,0.998799,1.001918081,0.991085526,1.000770943,0.009677956,
2007/2/12,-0.019,-0.1051,0.99981,0.998949,1.001727717,0.990043895,1.000770943,0.010718784,
2007/2/13,0.0138,0.0809,1.000138,1.000809,1.001865955,0.99084484,1.000770943,0.009918456,
2007/2/14,0.0147,0.0293,1.000147,1.000293,1.00201323,0.991135158,1.000770943,0.009628362,
2007/2/15,0.0069,0.0202,1.000069,1.000202,1.002082369,0.991335367,1.000770943,0.009428307,
2007/2/16,0.0017,0.9084,1.000017,1.009084,1.002099404,1.000340658,1.000770943,0.000429954,
2007/2/26,0.0655,0.022,1.000655,1.00022,1.002755779,1.000560733,1.000770943,0.000210048,
2007/2/27,-0.0121,-0.0861,0.999879,0.999139,1.002634446,0.99969925,1.000770943,0.001070867,
2007/2/28,0.0103,-0.0361,1.000103,0.999639,1.002737717,0.999338358,1.000770943,0.001431481,
2007/3/1,-0.0034,-0.006,0.999966,0.99994,1.002703624,0.999278398,1.000770943,0.001491395,
2007/3/2,-0.0052,-0.0251,0.999948,0.999749,1.002651483,0.999027579,1.000770943,0.001742021,
2007/3/5,-0.0112,0.0241,0.999888,1.000241,1.002539186,0.999268345,1.000770943,0.00150144,
2007/3/6,0.0069,-0.0722,1.000069,0.999278,1.002608362,0.998546873,1.000770943,0.002222356,
2007/3/7,0.0207,0.0191,1.000207,1.000191,1.002815902,0.998737596,1.000770943,0.002031781,
2007/3/8,-0.0482,-0.2297,0.999518,0.997703,1.002332544,0.996443495,1.000770943,0.004324114,
2007/3/9,-0.05,-0.4001,0.9995,0.995999,1.001831378,0.992456725,1.000770943,0.008307813,
2007/3/12,-0.0121,0.2422,0.999879,1.002422,1.001710156,0.994860455,1.000770943,0.005905935,
2007/3/13,-0.019,0.0685,0.99981,1.000685,1.001519831,0.995541934,1.000770943,0.00522498,
2007/3/14,-0.0242,-0.0694,0.999758,0.999306,1.001277464,0.994851028,1.000770943,0.005915354,
2007/3/15,-0.0138,0.007,0.999862,1.00007,1.001139287,0.994920668,1.000770943,0.005845768,
2007/3/16,-0.0354,-0.007,0.999646,0.99993,1.000784884,0.994851023,1.000770943,0.005915359,
2007/3/19,-0.0449,-0.0483,0.999551,0.999517,1.000335532,0.99437051,1.000770943,0.006395502,
2007/3/20,-0.0242,-0.0856,0.999758,0.999144,1.00009345,0.993519329,1.000770943,0.007246027,
2007/3/21,-0.0605,0.0786,0.999395,1.000786,0.999488394,0.994300235,1.000770943,0.006465723,
2007/3/22,-0.0337,-0.002,0.999663,0.99998,0.999151566,0.994280349,1.000770943,0.006485593,
2007/3/23,-0.019,-0.0151,0.99981,0.999849,0.998961728,0.994130213,1.000770943,0.006635614,
2007/3/26,0.0112,0.1189,1.000112,1.001189,0.999073611,0.995312234,1.000770943,0.005454504,
2007/3/27,0.0095,0.1137,1.000095,1.001137,0.999168523,0.996443904,1.000770943,0.004323705,
2007/3/28,0.0156,0.0342,1.000156,1.000342,0.999324394,0.996784688,1.000770943,0.003983184,
2007/3/29,-0.0026,0.0382,0.999974,1.000382,0.999298411,0.99716546,1.000770943,0.003602706,
2007/3/30,0.0138,-0.0271,1.000138,0.999729,0.999436314,0.996895228,1.000770943,0.003872729,
2007/4/2,0.0285,0.0482,1.000285,1.000482,0.999721154,0.997375731,1.000770943,0.003392596,
2007/4/3,0,-0.0211,1,0.999789,0.999721154,0.997165285,1.000770943,0.00360288,
2007/4/4,0.0156,-0.0412,1.000156,0.999588,0.99987711,0.996754453,1.000770943,0.004013396,
2007/4/5,-0.0035,-0.007,0.999965,0.99993,0.999842114,0.99668468,1.000770943,0.004083115,
2007/4/6,-0.0242,-0.0151,0.999758,0.999849,0.999600153,0.996534181,1.000770943,0.004233498,
2007/4/9,-0.0519,-0.1638,0.999481,0.998362,0.99908136,0.994901858,1.000770943,0.005864564,
2007/4/10,-0.0744,-0.0866,0.999256,0.999134,0.998338044,0.994040273,1.000770943,0.006725485,
2007/4/11,-0.0216,-0.0423,0.999784,0.999577,0.998122403,0.993619794,1.000770943,0.00714564,
2007/4/12,0.0026,0.0585,1.000026,1.000585,0.998148354,0.994201061,1.000770943,0.00656482,
2007/4/13,-0.0277,-0.0232,0.999723,0.999768,0.997871867,0.993970407,1.000770943,0.006795297,
2007/4/16,0.0069,0.005,1.000069,1.00005,0.99794072,0.994020105,1.000770943,0.006745637,
2007/4/17,-0.1048,-0.0242,0.998952,0.999758,0.996894878,0.993779552,1.000770943,0.006986005,
2007/4/18,-0.1317,0.0454,0.998683,1.000454,0.995581967,0.994230728,1.000770943,0.006535176,
2007/4/19,-0.0668,-0.0383,0.999332,0.999617,0.994916919,0.993849938,1.000770943,0.006915673,
2007/4/20,-0.0521,-0.0423,0.999479,0.999577,0.994398567,0.993429539,1.000770943,0.007335748,
2007/4/23,0.0391,-0.0202,1.000391,0.999798,0.994787377,0.993228866,1.000770943,0.007536266,
2007/4/24,-0.0417,-0.0151,0.999583,0.999849,0.99437255,0.993078889,1.000770943,0.007686128,
2007/4/25,0.0165,-0.1069,1.000165,0.998931,0.994536622,0.992017288,1.000770943,0.008746912,
2007/4/26,0.0452,-0.0464,1.000452,0.999536,0.994986152,0.991556992,1.000770943,0.009206853,
2007/4/27,0.0269,-0.0313,1.000269,0.999687,0.995253804,0.991246634,1.000770943,0.009516971,
2007/4/30,0.0773,0.3426,1.000773,1.003426,0.996023135,0.994642645,1.000770943,0.006123577,
2007/5/8,0.0547,0.0695,1.000547,1.000695,0.99656796,0.995333922,1.000770943,0.005432833,
2007/5/9,-0.0182,-0.0604,0.999818,0.999396,0.996386584,0.99473274,1.000770943,0.006033551,
2007/5/10,-0.0789,-0.0826,0.999211,0.999174,0.995600435,0.993911091,1.000770943,0.006854567,
2007/5/11,-0.1128,-0.005,0.998872,0.99995,0.994477398,0.993861395,1.000770943,0.006904225,
2007/5/14,-0.1112,-0.004,0.998888,0.99996,0.993371539,0.993821641,1.000770943,0.006943948,
2007/5/15,-0.2183,-0.2893,0.997817,0.997107,0.991203009,0.990946515,1.000770943,0.00981686,
2007/5/16,-0.034,0.002,0.99966,1.00002,0.990866,0.990966334,1.000770943,0.009797056,
2007/5/17,-0.0288,-0.1658,0.999712,0.998342,0.990580631,0.989323312,1.000770943,0.011438812,
2007/5/18,-0.0558,-0.1721,0.999442,0.998279,0.990027887,0.987620686,1.000770943,0.013140126,
2007/5/21,-0.2313,-0.7252,0.997687,0.992748,0.987737952,0.980458461,1.000770943,0.020296834,
2007/5/22,-0.1067,-0.0552,0.998933,0.999448,0.986684036,0.979917248,1.000770943,0.02083763,
2007/5/23,-0.0289,-0.1298,0.999711,0.998702,0.986398884,0.978645315,1.000770943,0.022108583,
2007/5/24,0.0166,0.0041,1.000166,1.000041,0.986562626,0.97868544,1.000770943,0.022068489,
2007/5/25,-0.0105,0.4903,0.999895,1.004903,0.986459037,0.983483934,1.000770943,0.017273691,
2007/5/28,0.0035,0.0316,1.000035,1.000316,0.986493563,0.983794715,1.000770943,0.01696315,
2007/5/29,0.0201,0.112,1.000201,1.00112,0.986691848,0.984896565,1.000770943,0.015862148,
2007/5/30,0.007,0.0559,1.00007,1.000559,0.986760917,0.985447123,1.000770943,0.015312015,
2007/5/31,0.0035,0.1159,1.000035,1.001159,0.986795453,0.986589256,1.000770943,0.014170762,
2007/6/1,-0.0184,0.0162,0.999816,1.000162,0.986613883,0.986749083,1.000770943,0.014011058,
2007/6/4,-0.0061,-0.0335,0.999939,0.999665,0.9865537,0.986418522,1.000770943,0.014341364,
2007/6/5,0.0228,-0.3087,1.000228,0.996913,0.986778634,0.983373448,1.000770943,0.017384092,
2007/6/6,-0.0158,-0.0153,0.999842,0.999847,0.986622723,0.983222992,1.000770943,0.017534432,
2007/6/7,-0.0061,-0.1039,0.999939,0.998961,0.986562539,0.982201424,1.000770943,0.018555214,
2007/6/8,-0.099,-0.2335,0.99901,0.997665,0.985585842,0.979907983,1.000770943,0.020846888,
2007/6/11,-0.1052,-0.3333,0.998948,0.996667,0.984549006,0.97664195,1.000770943,0.024110405,
2007/6/12,-0.2124,-0.3559,0.997876,0.996441,0.982457824,0.973166081,1.000770943,0.027583596,
2007/6/13,-0.0941,-0.3778,0.999059,0.996222,0.981533331,0.96948946,1.000770943,0.031257385,
2007/6/14,-0.11,-0.2903,0.9989,0.997097,0.980453644,0.966675032,1.000770943,0.034069645,
2007/6/15,-0.0811,-0.0197,0.999189,0.999803,0.979658496,0.966484597,1.000770943,0.034259933,
2007/6/18,-0.0203,-0.0964,0.999797,0.999036,0.979459626,0.965552906,1.000770943,0.035190907,
2007/6/19,-0.127,-0.4088,0.99873,0.995912,0.978215712,0.961605725,1.000770943,0.039135046,
2007/6/20,-0.0177,-0.0833,0.999823,0.999167,0.978042568,0.960804708,1.000770943,0.039935447,
2007/6/21,-0.1988,-0.3618,0.998012,0.996382,0.976098219,0.957328516,1.000770943,0.04340896,
2007/6/22,0.0253,0.1986,1.000253,1.001986,0.976345172,0.959229771,1.000770943,0.041509171,
2007/6/25,-0.0262,-0.051,0.999738,0.99949,0.976089369,0.958740564,1.000770943,0.041998001,
2007/6/26,0.0204,-0.2111,1.000204,0.997889,0.976288492,0.956716662,1.000770943,0.044020343,
2007/6/27,-0.0204,-0.1665,0.999796,0.998335,0.976089329,0.955123729,1.000770943,0.045612049,
2007/6/28,-0.0885,-0.4415,0.999115,0.995585,0.97522549,0.950906858,1.000770943,0.049825672,
2007/6/29,-0.0523,-0.2212,0.999477,0.997788,0.974715447,0.948803452,1.000770943,0.051927458,
2007/7/2,0.0284,-0.0359,1.000284,0.999641,0.974992266,0.948462831,1.000770943,0.052267816,
2007/7/3,0.0044,0.0285,1.000044,1.000285,0.975035166,0.948733143,1.000770943,0.051997712,
2007/7/4,0.0239,0.019,1.000239,1.00019,0.975268199,0.948913403,1.000770943,0.051817592,
2007/7/5,-0.0035,-0.0179,0.999965,0.999821,0.975234065,0.948743547,1.000770943,0.051987316,
2007/7/6,-0.0186,-0.0549,0.999814,0.999451,0.975052671,0.948222687,1.000770943,0.052507775,
2007/7/9,-0.0301,-0.1299,0.999699,0.998701,0.97475918,0.946990946,1.000770943,0.053738568,
2007/7/10,-0.0355,0.1788,0.999645,1.001788,0.974413141,0.948684166,1.000770943,0.052046652,
2007/7/11,-0.0816,-0.1943,0.999184,0.998057,0.97361802,0.946840872,1.000770943,0.053888526,
2007/7/12,-0.0639,-0.3005,0.999361,0.996995,0.972995878,0.943995615,1.000770943,0.056731591,
2007/7/13,-0.0098,0.0849,0.999902,1.000849,0.972900524,0.944797068,1.000770943,0.055930756,
2007/7/16,0.0089,-0.3223,1.000089,0.996777,0.972987112,0.941751987,1.000770943,0.058973491,
2007/7/17,-0.0204,0.0085,0.999796,1.000085,0.972788623,0.941832036,1.000770943,0.058893504,
2007/7/18,0.024,-0.0638,1.00024,0.999362,0.973022092,0.941231147,1.000770943,0.05949393,
2007/7/19,-0.008,0.0926,0.99992,1.000926,0.97294425,0.942102727,1.000770943,0.058623021,
2007/7/20,0.0222,-0.3264,1.000222,0.996736,0.973160244,0.939027704,1.000770943,0.061695675,
2007/7/23,0,-0.1888,1,0.998112,0.973160244,0.937254819,1.000770943,0.063467194,
2007/7/24,-0.0062,-0.1347,0.999938,0.998653,0.973099908,0.935992337,1.000770943,0.064728704,
2007/7/25,0.2673,0.1573,1.002673,1.001573,0.975701004,0.937464653,1.000770943,0.063257522,
2007/7/26,0.1638,0.3793,1.001638,1.003793,0.977299202,0.941020456,1.000770943,0.059704458,
2007/7/27,0.0796,-0.2278,1.000796,0.997722,0.978077133,0.938876812,1.000770943,0.061846451,
2007/7/30,0.0433,-0.1558,1.000433,0.998442,0.97850064,0.937414042,1.000770943,0.063308094,
2007/7/31,-0.0159,-0.1047,0.999841,0.998953,0.978345058,0.936432569,1.000770943,0.064288811,
2007/8/1,0.0795,0.0973,1.000795,1.000973,0.979122843,0.937343718,1.000770943,0.063378364,
2007/8/2,0.0274,-0.0363,1.000274,0.999637,0.979391122,0.937003462,1.000770943,0.063718357,
2007/8/3,-0.0159,0.1914,0.999841,1.001914,0.979235399,0.938796887,1.000770943,0.061926314,
2007/8/6,0.0009,0.0395,1.000009,1.000395,0.979244212,0.939167712,1.000770943,0.061555775,
2007/8/7,-0.0044,-0.0149,0.999956,0.999851,0.979201126,0.939027776,1.000770943,0.061695603,
2007/8/8,-0.0141,0.0917,0.999859,1.000917,0.979063058,0.939888864,1.000770943,0.060835178,
2007/8/9,0.0556,-0.0661,1.000556,0.999339,0.979607417,0.939267598,1.000770943,0.061455966,
2007/8/10,0.0238,-0.0512,1.000238,0.999488,0.979840564,0.938786693,1.000770943,0.061936501,
2007/8/13,0.0097,-0.1003,1.000097,0.998997,0.979935608,0.93784509,1.000770943,0.062877378,
2007/8/14,0.0194,-0.0598,1.000194,0.999402,0.980125716,0.937284258,1.000770943,0.063437778,
2007/8/15,0.0529,0.1079,1.000529,1.001079,0.980644202,0.938295588,1.000770943,0.062427227,
2007/8/16,0.0264,-0.0555,1.000264,0.999445,0.980903092,0.937774834,1.000770943,0.06294758,
2007/8/17,0.052,0.0032,1.00052,1.000032,0.981413162,0.937804843,1.000770943,0.062917594,
2007/8/20,0.0555,-0.0705,1.000555,0.999295,0.981957846,0.93714369,1.000770943,0.063578237,
2007/8/21,0.0581,-0.1197,1.000581,0.998803,0.982528364,0.936021929,1.000770943,0.064699134,
2007/8/22,0.0774,-0.1381,1.000774,0.998619,0.983288841,0.934729283,1.000770943,0.065990785,
2007/8/23,0.0677,0.0804,1.000677,1.000804,0.983954527,0.935480805,1.000770943,0.065239841,
2007/8/24,0.072,0.106,1.00072,1.00106,0.984662975,0.936472415,1.000770943,0.064248995,
2007/8/27,0.0421,0.2064,1.000421,1.002064,0.985077518,0.938405294,1.000770943,0.062317605,
2007/8/28,0.0053,0.1558,1.000053,1.001558,0.985129727,0.939867329,1.000770943,0.060856696,
2007/8/29,-0.0395,-0.0224,0.999605,0.999776,0.984740601,0.939656799,1.000770943,0.061067064,
2007/8/30,0.0167,0.0075,1.000167,1.000075,0.984905052,0.939727273,1.000770943,0.060996644,
2007/8/31,0.0149,0.0554,1.000149,1.000554,0.985051803,0.940247882,1.000770943,0.060476436,
2007/9/3,0.0974,0.0394,1.000974,1.000394,0.986011244,0.94061834,1.000770943,0.060106264,
2007/9/4,0.0105,0.0564,1.000105,1.000564,0.986114775,0.941148849,1.000770943,0.059576164,
2007/9/5,-0.0272,-0.0096,0.999728,0.999904,0.985846552,0.941058498,1.000770943,0.059666445,
2007/9/6,-0.0245,0.0383,0.999755,1.000383,0.985605019,0.941418924,1.000770943,0.059306297,
2007/9/7,-0.0657,-0.0074,0.999343,0.999926,0.984957477,0.941349259,1.000770943,0.059375908,
2007/9/10,0.0254,-0.1373,1.000254,0.998627,0.985207656,0.940056786,1.000770943,0.060667385,
2007/9/11,-0.1658,-0.0671,0.998342,0.999329,0.983574182,0.939426008,1.000770943,0.061297677,
2007/9/12,-0.0984,-0.2399,0.999016,0.997601,0.982606345,0.937172325,1.000770943,0.063549624,
2007/9/13,-0.0308,0.0481,0.999692,1.000481,0.982303702,0.937623105,1.000770943,0.063099192,
2007/9/14,-0.6896,-1.4327,0.993104,0.985673,0.975529735,0.924189779,1.000770943,0.07652217,
2007/9/17,-0.2985,-0.3598,0.997015,0.996402,0.972617779,0.920864544,1.000770943,0.079844843,
2007/9/18,0.056,-0.1349,1.00056,0.998651,0.973162445,0.919622298,1.000770943,0.081086132,
2007/9/19,0.0959,0.1046,1.000959,1.001046,0.974095708,0.920584223,1.000770943,0.080124948,
2007/9/20,0.0488,-0.0783,1.000488,0.999217,0.974571067,0.919863405,1.000770943,0.08084521,
2007/9/21,0.2057,0.2853,1.002057,1.002853,0.976575759,0.922487776,1.000770943,0.078222862,
2007/9/24,0.0106,0.0369,1.000106,1.000369,0.976679276,0.922828174,1.000770943,0.077882726,
2007/9/25,0.0858,0.0521,1.000858,1.000521,0.977517267,0.923308967,1.000770943,0.077402303,
2007/9/26,0.1777,0.0955,1.001777,1.000955,0.979254315,0.924190727,1.000770943,0.076521222,
2007/9/27,0.1297,0.2222,1.001297,1.002222,0.980524408,0.926244279,1.000770943,0.074469252,
2007/9/28,0.1163,0.4467,1.001163,1.004467,0.981664758,0.930381812,1.000770943,0.070334906,
2007/10/8,0.1866,0.2035,1.001866,1.002035,0.983496545,0.932275139,1.000770943,0.068443038,
2007/10/9,0.0053,-0.0473,1.000053,0.999527,0.98354867,0.931834173,1.000770943,0.068883664,
2007/10/10,0.0228,0.0193,1.000228,1.000193,0.983772919,0.932014017,1.000770943,0.068703959,
2007/10/11,0.0263,-0.058,1.000263,0.99942,0.984031651,0.931473449,1.000770943,0.069244111,
2007/10/12,-0.0114,-0.0989,0.999886,0.999011,0.983919472,0.930552222,1.000770943,0.070164628,
2007/10/15,0.0079,-0.1776,1.000079,0.998224,0.983997201,0.928899561,1.000770943,0.071816016,
2007/10/16,-0.022,0.0108,0.99978,1.000108,0.983780722,0.928999882,1.000770943,0.071715772,
2007/10/17,-0.1994,-0.1682,0.998006,0.998318,0.981819063,0.927437304,1.000770943,0.073277146,
2007/10/18,-0.044,-0.0486,0.99956,0.999514,0.981387063,0.92698657,1.000770943,0.073727533,
2007/10/19,-0.0317,0.0357,0.999683,1.000357,0.981075963,0.927317504,1.000770943,0.073396854,
2007/10/22,-0.1136,-0.1102,0.998864,0.998898,0.979961461,0.9262956,1.000770943,0.074417971,
2007/10/23,-0.0538,-0.0054,0.999462,0.999946,0.979434241,0.92624558,1.000770943,0.074467952,
2007/10/24,0.0079,-0.0606,1.000079,0.999394,0.979511617,0.925684275,1.000770943,0.075028825,
2007/10/25,0.0168,0.0335,1.000168,1.000335,0.979676175,0.925994379,1.000770943,0.074718959,
2007/10/26,-0.0229,-0.0346,0.999771,0.999654,0.979451829,0.925673985,1.000770943,0.075039106,
2007/10/29,0.097,0.1623,1.00097,1.001623,0.980401897,0.927176354,1.000770943,0.073537895,
2007/10/30,0.0088,0.0583,1.000088,1.000583,0.980488172,0.927716898,1.000770943,0.072997768,
2007/10/31,-0.0097,0.0162,0.999903,1.000162,0.980393065,0.927867188,1.000770943,0.072847593,
2007/11/1,-0.0353,0.0108,0.999647,1.000108,0.980046986,0.927967398,1.000770943,0.072747461,
2007/11/2,-0.0485,-0.0788,0.999515,0.999212,0.979571664,0.92723616,1.000770943,0.073478136,
2007/11/5,-0.1076,0.1534,0.998924,1.001534,0.978517644,0.92865854,1.000770943,0.072056851,
2007/11/6,-0.0609,0.0097,0.999391,1.000097,0.977921727,0.92874862,1.000770943,0.071966841,
2007/11/7,-0.1078,-0.179,0.998922,0.99821,0.976867528,0.92708616,1.000770943,0.07362802,
2007/11/8,-0.1548,-0.1783,0.998452,0.998217,0.975355337,0.925433165,1.000770943,0.075279741,
2007/11/9,-0.1143,-0.1526,0.998857,0.998474,0.974240506,0.924020954,1.000770943,0.076690864,
2007/11/12,-0.0568,-0.1756,0.999432,0.998244,0.973687137,0.922398373,1.000770943,0.078312195,
2007/11/13,-0.0106,-0.0489,0.999894,0.999511,0.973583926,0.92194732,1.000770943,0.078762901,
2007/11/14,-0.0683,-0.0934,0.999317,0.999066,0.972918968,0.921086222,1.000770943,0.079623336,
2007/11/15,-0.0409,-0.1131,0.999591,0.998869,0.972521044,0.920044473,1.000770943,0.080664282,
2007/11/16,-0.0115,-0.1383,0.999885,0.998617,0.972409204,0.918772052,1.000770943,0.081935723,
2007/11/19,0.0329,-0.0469,1.000329,0.999531,0.972729127,0.918341148,1.000770943,0.082366296,
2007/11/20,0.0391,-0.0807,1.000391,0.999193,0.973109464,0.917600046,1.000770943,0.083106826,
2007/11/21,0.0355,-0.1321,1.000355,0.998679,0.973454918,0.916387897,1.000770943,0.084318042,
2007/11/22,-0.0071,-0.1202,0.999929,0.998798,0.973385803,0.915286398,1.000770943,0.085418691,
2007/11/23,0.0479,0.0285,1.000479,1.000285,0.973852055,0.915547255,1.000770943,0.085158036,
2007/11/26,0.0612,0.1127,1.000612,1.001127,0.974448052,0.916579077,1.000770943,0.084127009,
2007/11/27,0.0754,-0.035,1.000754,0.99965,0.975182786,0.916258274,1.000770943,0.084447564,
2007/11/28,0.0416,-0.0722,1.000416,0.999278,0.975588462,0.915596736,1.000770943,0.085108593,
2007/11/29,0.0177,-0.0974,1.000177,0.999026,0.975761141,0.914704944,1.000770943,0.085999698,
2007/11/30,0.0283,0.0602,1.000283,1.000602,0.976037281,0.915255597,1.000770943,0.085449469,
2007/12/3,0.0212,0.0339,1.000212,1.000339,0.976244201,0.915565868,1.000770943,0.085139437,
2007/12/4,0.0062,0.0678,1.000062,1.000678,0.976304729,0.916186622,1.000770943,0.084519161,
2007/12/5,0.0177,-0.0492,1.000177,0.999508,0.976477534,0.915735858,1.000770943,0.084969578,
2007/12/6,0.0354,0.0886,1.000354,1.000886,0.976823207,0.9165472,1.000770943,0.084158861,
2007/12/7,0.0274,-0.0842,1.000274,0.999158,0.977090857,0.915775467,1.000770943,0.084929999,
2007/12/10,0.0256,0.0109,1.000256,1.000109,0.977340992,0.915875287,1.000770943,0.084830257,
2007/12/11,0.0203,0.0678,1.000203,1.000678,0.977539393,0.91649625,1.000770943,0.084209771,
2007/12/12,0.0698,0.0175,1.000698,1.000175,0.978221715,0.916656637,1.000770943,0.084049508,
2007/12/13,-0.0353,-0.024,0.999647,0.99976,0.977876403,0.91643664,1.000770943,0.084269336,
2007/12/14,0.1741,0.0197,1.001741,1.000197,0.979578886,0.916617178,1.000770943,0.084088937,
2007/12/17,0.075,0.0197,1.00075,1.000197,0.98031357,0.916797751,1.000770943,0.083908503,
2007/12/18,0.0511,0.0295,1.000511,1.000295,0.98081451,0.917068207,1.000770943,0.083638256,
