,stock_large,stock_small,bond,stock_HongKong,stock_US
2004/1/2,0.826,,-0.4348,1.7934,-0.3094
2004/1/5,2.9764,,0.3772,1.5924,1.2395
2004/1/6,0.86,,0.0396,0.2383,0.1292
2004/1/7,1.2095,,-0.2768,0.9309,0.2367
2004/1/8,1.427,,-0.1982,0.3489,0.4963
2004/1/9,-1.3962,,0.1788,1.38,-0.8888
2004/1/12,2.2329,,0.0397,-0.2509,0.4787
2004/1/13,-0.1159,,0.2378,0.3328,-0.5332
2004/1/14,-1.1772,,-0.2472,-0.5656,0.8295
2004/1/15,-0.34,,0.0595,-0.5335,0.1353
2004/1/16,0.8386,,0.0891,-0.6193,0.6872
2004/1/29,2.153,,-0.0693,1.2626,-0.5018
2004/1/30,-2.3334,,-0.0099,-0.3348,-0.2628
2004/2/2,2.0239,,-0.0792,-2.1776,0.3651
2004/2/3,1.0502,,-0.0198,0.6925,0.0678
2004/2/4,2.1096,,-0.0297,-0.0251,-0.8371
2004/2/5,0.3697,,0.0198,-0.4263,0.1838
2004/2/6,-0.4897,,0.0397,2.1384,1.2555
2004/2/9,1.6048,,0.2379,2.0067,-0.2581
2004/2/10,-0.4222,,-0.0395,-0.4494,0.5027
2004/2/11,-0.6099,,-0.0198,0.0673,1.0667
2004/2/12,-0.671,,0,0.7421,-0.488
2004/2/13,-0.2469,,-0.0989,0.8416,-0.5468
2004/2/16,2.3068,,0.0594,0.6676,
2004/2/17,0.5145,,0.0198,-0.1163,0.9757
2004/2/18,0.7962,,-0.0495,0.8175,-0.4468
2004/2/19,-0.3865,,-0.0198,-0.4391,-0.4133
2004/2/20,0.3692,,0.0891,0.0083,-0.2572
2004/2/23,-2.29,,0.0495,-0.7449,-0.2727
2004/2/24,-0.2152,,-0.0198,-0.0629,-0.1665
2004/2/25,-1.9813,,-0.2275,-1.1408,0.4021
2004/2/26,0.483,,0.0397,0.5527,0.1084
2004/2/27,1.1788,,-0.0297,1.6994,0.0026
2004/3/1,1.1323,,-0.0099,0.0836,0.9625
2004/3/2,-0.2721,,-0.0694,-1.3457,-0.5934
2004/3/3,-1.6123,,0.0298,-2.0192,0.1688
2004/3/4,0.6437,,0.0694,-0.0188,0.3336
2004/3/5,-0.5993,,0,0.0238,0.1723
2004/3/8,-1.8231,,0.0991,0.8828,-0.835
2004/3/9,-0.2375,,-0.0198,-1.2988,-0.5779
2004/3/10,2.3454,,0.0099,-1.3663,-1.4633
2004/3/11,0.9557,,-0.1881,-1.4389,-1.5224
2004/3/12,0.0494,,0.1488,-0.7051,1.246
2004/3/15,2.2938,,0.0495,-0.0991,-1.435
2004/3/16,0.4094,,0.0693,0.1022,0.5623
2004/3/17,0.1901,,-0.1088,0.3333,1.1749
2004/3/18,-1.8493,,0,-1.2295,-0.1273
2004/3/19,1.5602,,-0.1783,-0.1998,-1.1173
2004/3/22,0.429,,0.0794,-1.8738,-1.2958
2004/3/23,-0.7167,,-0.1289,0.2984,-0.1324
2004/3/24,-0.2984,,-0.0496,0.7131,-0.2395
2004/3/25,0.0352,,-0.0298,-1.2456,1.6365
2004/3/26,0.0444,,-0.0497,-0.2953,-0.1019
2004/3/29,-1.0658,,0.0298,-0.4478,1.3005
2004/3/30,0.0254,,0.0497,1.7224,0.4036
2004/3/31,0.9406,,-0.0099,0.3186,-0.0701
2004/4/1,0.8432,,0.0397,-0.0427,0.5292
2004/4/2,0.6649,,-0.0199,0.4379,0.8515
2004/4/5,-0.2808,,-0.0894,,0.7672
2004/4/6,0.6033,,-0.0895,1.2191,-0.2095
2004/4/7,-0.1173,,0.0597,0.2567,-0.6645
2004/4/8,-0.4261,,-0.0895,-0.0827,-0.1061
2004/4/9,-2.3165,,0.0398,,
2004/4/12,-0.4083,,0.0497,,0.5161
2004/4/13,-0.7951,,-0.0398,0.9485,-1.3762
2004/4/14,-1.6069,,-0.1492,-2.7774,-0.1124
2004/4/15,-0.9927,,-0.4084,-1.5044,0.0594
2004/4/16,0.9273,,-0.3701,-0.1673,0.5111
2004/4/19,-1.4334,,-0.4919,-0.0673,0.1066
2004/4/20,-0.832,,-0.7264,-0.4468,-1.5557
2004/4/21,-0.8787,,-0.1524,-1.348,0.5312
2004/4/22,0.5258,,-0.1832,-0.4874,1.4091
2004/4/23,-1.5526,,-0.1937,1.7772,0.0588
2004/4/26,0.0503,,-0.0306,-2.0289,-0.4445
2004/4/27,-0.9871,,0.0307,0.1832,0.2272
2004/4/28,-0.4929,,-0.0204,0.0856,-1.3795
2004/4/29,-1.9483,,-0.5314,-1.313,-0.7591
2004/4/30,0.4961,,0.1849,-0.5216,-0.5916
2004/5/10,-2.6727,,-0.2461,-3.8304,-1.8225
2004/5/11,0.4964,,-0.2467,0.1967,0.7662
2004/5/12,2.263,,0.0206,0.1746,0.1671
2004/5/13,-0.4385,,0.237,-1.1384,-0.0766
2004/5/14,-2.2127,,0.3084,-1.0536,-0.0675
2004/5/17,-0.9999,,0.1742,-2.742,-1.0587
2004/5/18,1.2065,,0.1227,0.955,0.6817
2004/5/19,-0.0025,,-0.0511,3.5857,-0.2574
2004/5/20,-0.6503,,-0.0511,-1.1316,0.0468
2004/5/21,0.6241,,-0.0511,2.0846,0.4012
2004/5/24,-0.6967,,-0.2046,0.7512,0.1692
2004/5/25,-1.9218,,0.3179,0.2537,1.6104
2004/5/26,0.4501,,0.1124,,0.1698
2004/5/27,2.1698,,-0.2144,2.4917,0.5686
2004/5/28,-0.5759,,0.0307,1.1096,-0.0535
2004/5/31,0.4261,,-0.1636,0.6715,
2004/6/1,1.4305,,0.7786,-0.7599,0.0464
2004/6/2,-0.9944,,0.0712,0.7947,0.338
2004/6/3,-1.5164,,-0.0508,-2.2277,-0.7422
2004/6/4,-0.0652,,-0.2439,0.7771,0.5248
2004/6/7,-1.3844,,-1.2532,2.5303,1.5964
2004/6/8,-1.3545,,0.031,0.1404,0.1543
2004/6/9,-1.9637,,0.8871,-0.0342,-0.9499
2004/6/10,0.1727,,-0.0102,0.672,0.4543
2004/6/11,0.0893,,0.2658,-0.2132,
2004/6/14,-2.2027,,-0.2346,-2.5799,-0.9837
2004/6/15,1.7475,,-0.2351,-0.2143,0.5972
2004/6/16,0.5459,,0.5943,0.9219,0.1369
2004/6/17,-2.1549,,0.0509,-0.6489,-0.1332
2004/6/18,-1.1734,,-0.0509,-1.8813,0.2624
2004/6/21,0.5427,,-0.6417,-0.084,-0.4159
2004/6/22,0.9457,,0.205,,0.3636
2004/6/23,-0.8539,,0.2148,0.0353,0.8507
2004/6/24,-0.9381,,0.1429,2.6491,-0.2981
2004/6/25,-1.6315,,-0.1937,0.1796,-0.5453
2004/6/28,-1.1509,,-0.1226,0.0745,-0.0952
2004/6/29,1.4129,,-0.1943,-0.6421,0.2515
2004/6/30,-0.5654,,0.3586,1.3985,0.4084
2004/7/1,3.1437,,0,,-1.0431
2004/7/2,0.2298,,0.0817,-0.5341,-0.3153
2004/7/5,0.1319,,-0.051,0.2617,
2004/7/6,0.436,,0.3674,0.2609,-0.8148
2004/7/7,-0.9507,,0.0814,0.2945,0.1899
2004/7/8,0.2164,,-0.1118,-1.6275,-0.8244
2004/7/9,-0.5491,,0.1424,0.6808,0.3336
2004/7/12,-2.1444,,0.0406,-0.0922,0.1384
2004/7/13,0.3358,,-0.1828,-0.9243,0.0709
2004/7/14,0.1807,,0,-1.2046,-0.3291
2004/7/15,1.3986,,-0.2136,0.0551,-0.4301
2004/7/16,2.608,,0.1733,1.0033,-0.4789
2004/7/19,0.1502,,-0.2646,0.8935,-0.0445
2004/7/20,-0.7602,,0.0306,-0.356,0.7058
2004/7/21,-0.019,,0.1734,2.2393,-1.334
2004/7/22,-2.4699,,-0.0102,-0.6043,0.2706
2004/7/23,0.3407,,0.0102,0.2661,-0.9701
2004/7/26,-1.3009,,0.0102,-0.2684,-0.1961
2004/7/27,-0.3559,,0.224,-0.1502,0.9926
2004/7/28,0.5651,,0.0203,0.154,0.0539
2004/7/29,1.3444,,0.1016,-1.1134,0.4574
2004/7/30,-1.4029,,0.1826,0.4509,0.1172
2004/8/2,-0.7465,,0,-0.2994,0.4448
2004/8/3,-0.6448,,0.0304,1.2763,-0.6262
2004/8/4,2.7914,,-0.1822,-0.622,-0.0964
2004/8/5,-1.3354,,-0.0101,1.7236,-1.632
2004/8/6,-0.0526,,0.142,-0.106,-1.5481
2004/8/9,0.4813,,-0.1114,-0.0903,0.1175
2004/8/10,0.467,,0.0304,-0.4762,1.2974
2004/8/11,-1.1386,,0.1419,-0.5231,-0.3012
2004/8/12,-1.0368,,-0.0709,0.5695,-1.1675
2004/8/13,0.2259,,0.0203,-0.4318,0.1477
2004/8/16,-0.8957,,0.0101,-1.1333,1.3655
2004/8/17,0.4603,,-0.1519,0.2976,0.2196
2004/8/18,-0.0637,,0,-0.225,1.2443
2004/8/19,-1.1783,,0.1521,1.3749,-0.3598
2004/8/20,0.0973,,-0.0608,-0.1595,0.6525
2004/8/23,-1.2278,,0,0.4433,-0.2431
2004/8/24,1.1658,,-0.1115,1.7272,0.0465
2004/8/25,-0.3676,,-0.0304,1.1587,0.8
2004/8/26,-0.4293,,0.1928,-0.0675,0.0118
2004/8/27,-1.1187,,0.2937,0.2662,0.2425
2004/8/30,-0.086,,-1.2523,0.4631,-0.7781
2004/8/31,1.6975,,-0.0205,-0.2135,0.4631
2004/9/1,-1.5071,,-0.0818,1.3509,0.1512
2004/9/2,0.5109,,-0.0102,-0.1904,1.1212
2004/9/3,-0.1752,,0.7269,-0.3921,-0.4185
2004/9/6,-0.3708,,0.0508,1.2067,
2004/9/7,0.1748,,0.0102,0.2419,0.6887
2004/9/8,-0.9485,,0.1117,-0.6553,-0.4486
2004/9/9,-1.8466,,-0.2334,-0.8257,0.189
2004/9/10,0.2563,,0,0.4774,0.4954
2004/9/13,-2.1561,,0.061,1.0426,0.1691
2004/9/14,3.0347,,-0.1321,0.0646,0.2229
2004/9/15,4.1895,,-0.2239,-0.4842,-0.7055
2004/9/16,1.091,,0.204,0.9587,0.2794
2004/9/17,3.2333,,0.5599,0.1142,0.4495
2004/9/20,3.537,,0,-0.0272,-0.5627
2004/9/21,-0.7523,,-0.0709,0.6289,0.6327
2004/9/22,-2.0421,,-0.2634,-0.2424,-1.3938
2004/9/23,3.3765,,0.0609,0.0618,-0.467
2004/9/24,-1.8961,,0,-1.6083,0.1579
2004/9/27,-0.6976,,0,-0.3439,-0.5936
2004/9/28,0.735,,0.3147,-0.546,0.5926
2004/9/29,-1.0852,,0.0101,,0.427
2004/9/30,-1.3064,,-0.0101,1.3067,-0.0197
2004/10/8,2.0365,,0.3643,0.9255,0.6783
2004/10/11,-0.4932,,-0.3932,0.4808,0.2005
2004/10/12,-2.0229,,0.081,-0.4024,-0.2268
2004/10/13,0.0572,,0.0708,-0.6038,-0.7301
2004/10/14,-3.9895,,-0.0202,-1.034,-0.9303
2004/10/15,0.1429,,0.0505,0.1845,0.445
2004/10/18,0.1724,,0.1718,-0.1891,0.5252
2004/10/19,0.2975,,0.1513,0.9192,-0.9686
2004/10/20,-0.3501,,0.0201,-1.1815,0.039
2004/10/21,-1.2169,,0.1712,0.1236,0.2564
2004/10/22,1.2548,,-0.1106,,-0.9715
2004/10/25,-1.3124,,-0.0101,-1.5144,-0.0849
2004/10/26,0.9592,,0,0.2672,1.487
2004/10/27,0.9847,,0.1006,-0.1061,1.2879
2004/10/28,-0.0941,,0.0201,2.1376,0.1813
2004/10/29,-1.7198,,-0.2413,-0.446,0.2448
2004/11/1,-1.1302,,-0.0202,0.3033,0.0274
2004/11/2,-0.2595,,-0.0302,1.638,0.0027
2004/11/3,1.8306,,-0.0504,0.6682,1.1198
2004/11/4,-2.0831,,-0.3026,-0.2133,1.6156
2004/11/5,0.1047,,0.2529,0.9414,0.3874
2004/11/8,0.0968,,0.0101,0.4931,-0.1098
2004/11/9,0.2324,,0.0101,-0.3305,-0.0695
2004/11/10,3.7669,,0.1816,1.1519,-0.1005
2004/11/11,-0.5584,,0.1309,-0.35,0.9089
2004/11/12,0.2194,,0.0905,1.174,0.911
2004/11/15,1.1269,,0.0301,1.0719,-0.0304
2004/11/16,-0.005,,-0.01,-1.336,-0.7079
2004/11/17,-0.9457,,-0.01,0.574,0.5538
2004/11/18,0.9903,,-0.4723,-0.182,0.1362
2004/11/19,0.584,,-0.0101,-0.088,-1.1161
2004/11/22,0.2731,,0.2928,0.0937,0.5896
2004/11/23,-0.8655,,-0.0101,1.6136,-0.0255
2004/11/24,-0.6644,,0.0503,-0.1873,0.4095
2004/11/25,-0.1232,,-0.1912,-0.503,
2004/11/26,-0.1261,,0,-0.2268,0.0753
2004/11/29,-1.2683,,0.0706,1.237,-0.345
2004/11/30,0.1377,,0.1814,-0.0488,-0.403
2004/12/1,-0.4388,,-0.0101,0.7308,1.4951
2004/12/2,-0.1974,,0.0402,0.6989,-0.0873
2004/12/3,0.2152,,0.0503,-0.3502,0.0706
2004/12/6,0.1814,,-0.01,0.3168,-0.0772
2004/12/7,-1.1387,,0.0704,-0.1479,-1.1073
2004/12/8,0.0949,,-0.0904,-1.4995,0.4877
2004/12/9,0.987,,0.4524,-0.0963,0.5436
2004/12/10,-1.5079,,0.03,-0.7639,-0.1043
2004/12/13,-0.5847,,0.04,-0.1126,0.899
2004/12/14,-0.3045,,-0.04,1.1332,0.3921
2004/12/15,0.3471,,0.09,0.2494,0.1945
2004/12/16,-0.4443,,-0.1299,-0.3829,-0.2082
2004/12/17,-0.9945,,0,-0.2295,-0.7472
2004/12/20,-1.3317,,-0.05,1.5837,0.036
2004/12/21,-0.1242,,-0.0501,-0.2339,0.904
2004/12/22,2.5705,,-0.4107,-0.2095,0.3418
2004/12/23,-1.7913,,-0.0604,0.5951,0.0463
2004/12/24,0.0874,,0.1409,-0.2838,
2004/12/27,-0.3889,,-0.0704,,-0.4305
2004/12/28,-0.1727,,-0.0302,0.0144,0.7154
2004/12/29,-0.5115,,0.2817,0.489,-0.0074
2004/12/30,-0.153,,0,-0.7208,0.0082
2004/12/31,-0.3973,,-0.0502,0.4702,-0.1343
2005/1/4,-1.7206,,0.0703,-1.2947,-1.9696
2005/1/5,0.9941,1.6927,0.1906,-2.0044,-0.3628
2005/1/6,-0.946,-0.9005,0.1602,-0.3801,0.3506
2005/1/7,0.0797,0.3027,0.02,-1.0004,-0.1431
2005/1/10,1.0083,0.8752,0.04,-0.3202,0.3423
2005/1/11,0.3276,0.1993,0.02,-0.1636,-0.61
2005/1/12,-0.0388,0.0275,-0.02,0.415,0.3981
2005/1/13,0.0129,0.4412,0.0999,0.0588,-0.863
2005/1/14,-0.8598,-1.2735,0.0499,-0.5783,0.6005
2005/1/17,-2.1101,-2.2643,0.1097,0.9401,
2005/1/18,0.748,1.4217,0.0598,-0.128,0.9675
2005/1/19,-0.7673,-0.5223,0.01,0.547,-0.949
2005/1/20,-1.1337,-1.397,-0.0398,-0.9872,-0.7783
2005/1/21,2.7565,1.6511,0.0199,-0.462,-0.6415
2005/1/24,1.5804,1.9884,0.0697,-0.6975,-0.3528
2005/1/25,-0.0359,-0.8552,0.0796,1.4721,0.4004
2005/1/26,-0.7864,-1.1603,0.1293,0.2917,0.4844
