id,name
510010.SH,治理ETF
510020.SH,超大ETF
510030.SH,价值ETF
510050.SH,50ETF
510060.SH,央企ETF
510070.SH,民企ETF
510090.SH,责任ETF
510110.SH,周期ETF
510120.SH,非周ETF
510130.SH,中盘ETF
510150.SH,消费ETF
510160.SH,小康ETF
510170.SH,商品ETF
510180.SH,180ETF
510190.SH,龙头ETF
510210.SH,综指ETF
510220.SH,中小ETF
510230.SH,金融ETF
510260.SH,新兴ETF
510270.SH,国企ETF
510280.SH,成长ETF
510290.SH,380ETF
510300.SH,300ETF
510310.SH,HS300ETF
510330.SH,华夏300
510360.SH,广发300
510410.SH,资源ETF
510420.SH,180EWETF
510430.SH,50等权
510440.SH,500沪市
510500.SH,500ETF
510510.SH,广发500
510520.SH,诺安500
510560.SH,国寿500
510580.SH,ZZ500ETF
510630.SH,消费行业
510650.SH,金融行业
510660.SH,医药行业
510680.SH,万家50
510710.SH,上50ETF
510810.SH,上海国企
510880.SH,红利ETF
510900.SH,H股ETF
511010.SH,国债ETF
511210.SH,企债ETF
511220.SH,城投ETF
511230.SH,周期债
511600.SH,货币ETF
511650.SH,华夏快线
511660.SH,建信添益
511680.SH,安信货币
511690.SH,交易货币
511700.SH,场内货币
511760.SH,德邦货币
511770.SH,金鹰增益
511800.SH,易货币
511810.SH,理财金H
511820.SH,鹏华添利
511830.SH,华泰货币
511850.SH,财富宝E
511860.SH,博时货币
511880.SH,银华日利
511890.SH,景顺货币
511900.SH,富国货币
511910.SH,融通货币
511920.SH,广发货币
511930.SH,中融日盈
511950.SH,广发添利
511960.SH,嘉实快线
511970.SH,国寿货币
511980.SH,现金添富
511990.SH,华宝添益
512000.SH,券商ETF
512010.SH,医药ETF
512070.SH,非银ETF
512100.SH,1000ETF
512120.SH,中证医药
512200.SH,南方中证全指房地产ETF
512210.SH,景顺食品
512220.SH,景顺TMT
512230.SH,景顺医药
512300.SH,500医药
512310.SH,500工业
512330.SH,500信息
512340.SH,500原料
512400.SH,南方中证申万有色金属ETF
512500.SH,中证500
512510.SH,ETF500
512550.SH,嘉实富时中国A50ETF
512560.SH,中证军工
512570.SH,中证证券
512580.SH,环保ETF
512600.SH,主要消费
512610.SH,医药卫生
512640.SH,金融地产
512660.SH,军工ETF
512680.SH,军工基金
512700.SH,南方中证银行ETF
512800.SH,华宝兴业中证银行ETF
512810.SH,军工行业
512880.SH,证券ETF
512900.SH,证券基金
512990.SH,MSCIA股
513030.SH,德国30
513050.SH,中概互联
513100.SH,纳指ETF
513500.SH,标普500
513600.SH,恒指ETF
513660.SH,恒生通
518800.SH,黄金基金
518880.SH,黄金ETF
159001.SZ,保证金
159003.SZ,招商快线
159005.SZ,添富快钱
159901.SZ,深100ETF
159902.SZ,中小板
159903.SZ,深成ETF
159905.SZ,深红利
159906.SZ,深成长
159907.SZ,中小300
159908.SZ,深F200
159909.SZ,深TMT
159910.SZ,深F120
159911.SZ,民营ETF
159912.SZ,深300ETF
159913.SZ,深价值
159915.SZ,创业板
159916.SZ,深F60
159918.SZ,中创400
159919.SZ,300ETF
159920.SZ,恒生ETF
159921.SZ,中小等权
159922.SZ,500ETF
159923.SZ,100ETF
159924.SZ,300等权
159925.SZ,南方300
159926.SZ,国债ETF
159927.SZ,A300ETF
159928.SZ,消费ETF
159929.SZ,医药ETF
159930.SZ,能源ETF
159931.SZ,金融ETF
159932.SZ,500深ETF
159933.SZ,金地ETF
159934.SZ,黄金ETF
159935.SZ,景顺500
159936.SZ,可选消费
159937.SZ,博时黄金
159938.SZ,广发医药
159939.SZ,信息技术
159940.SZ,全指金融
159941.SZ,纳指100
159942.SZ,中创100
159943.SZ,深证ETF
159944.SZ,全指材料
159945.SZ,全指能源
159946.SZ,全指消费
159948.SZ,创业板EF
159949.SZ,创业板50
159950.SZ,深成指EF
159951.SZ,嘉实中关村A股ETF
159952.SZ,创业ETF
159953.SZ,广发中证全指工业ETF
159955.SZ,嘉实创业板ETF
