,replicable_funds,un_replicable_funds
2006-01-25 00:00:00.005,,
2006-02-28 00:00:00.005,,
2006-03-31 00:00:00.005,,
2006-04-28 00:00:00.005,,
2006-05-31 00:00:00.005,,
2006-06-30 00:00:00.005,,
2006-07-31 00:00:00.005,,
2006-08-31 00:00:00.005,,
2006-09-29 00:00:00.005,,
2006-10-31 00:00:00.005,,
2006-11-30 00:00:00.005,,
2006-12-29 00:00:00.005,,
2007-01-31 00:00:00.005,,
2007-02-28 00:00:00.005,,
2007-03-30 00:00:00.005,,
2007-04-30 00:00:00.005,,
2007-05-31 00:00:00.005,,
2007-06-29 00:00:00.005,,
2007-07-31 00:00:00.005,,
2007-08-31 00:00:00.005,,
2007-09-28 00:00:00.005,,
2007-10-31 00:00:00.005,,
2007-11-30 00:00:00.005,"[020003.OF, 020007.OF, 020005.OF, 003003.OF, 020001.OF, 002001.OF, 002011.OF, 000001.OF, 000011.OF]",[]
2007-12-28 00:00:00.005,"[020003.OF, 020005.OF, 003003.OF, 020001.OF, 020007.OF, 002001.OF, 002011.OF, 000001.OF, 000011.OF]",[]
2008-01-31 00:00:00.005,"[020003.OF, 020005.OF, 003003.OF, 020001.OF, 002001.OF, 020007.OF, 002011.OF, 000001.OF, 000011.OF]",[]
2008-02-29 00:00:00.005,"[003003.OF, 020003.OF, 020007.OF, 020005.OF, 002001.OF, 020001.OF, 002011.OF, 000001.OF, 000011.OF]",[]
2008-03-31 00:00:00.005,"[003003.OF, 020003.OF, 020005.OF, 020007.OF, 020001.OF, 002001.OF, 002011.OF, 000001.OF, 000011.OF]",[]
2008-04-30 00:00:00.005,"[003003.OF, 020007.OF, 020003.OF, 020005.OF, 020001.OF, 002001.OF, 000011.OF, 002011.OF, 000001.OF]",[]
2008-05-30 00:00:00.005,[000001.OF],[003003.OF]
2008-06-30 00:00:00.005,[002001.OF],[003003.OF]
2008-07-31 00:00:00.005,[002001.OF],[003003.OF]
2008-08-29 00:00:00.005,[000021.OF],[003003.OF]
2008-09-26 00:00:00.005,[000021.OF],[003003.OF]
2008-10-31 00:00:00.005,[000021.OF],[003003.OF]
2008-11-28 00:00:00.005,[000021.OF],[003003.OF]
2008-12-31 00:00:00.005,[000001.OF],[003003.OF]
2009-01-23 00:00:00.005,[000001.OF],[003003.OF]
2009-02-27 00:00:00.005,[020010.OF],[003003.OF]
2009-03-31 00:00:00.005,[020010.OF],[003003.OF]
2009-04-30 00:00:00.005,[020010.OF],[003003.OF]
2009-05-27 00:00:00.005,[020010.OF],[003003.OF]
2009-06-30 00:00:00.005,[000011.OF],[003003.OF]
2009-07-31 00:00:00.005,[020003.OF],[003003.OF]
2009-08-31 00:00:00.005,[020005.OF],[020007.OF]
2009-09-30 00:00:00.005,[020005.OF],[020007.OF]
2009-10-30 00:00:00.005,[020005.OF],[020007.OF]
2009-11-30 00:00:00.005,[020005.OF],[020007.OF]
2009-12-31 00:00:00.005,[020003.OF],[020007.OF]
2010-01-29 00:00:00.005,[020003.OF],[020007.OF]
2010-02-26 00:00:00.005,[020005.OF],[020007.OF]
2010-03-31 00:00:00.005,[020005.OF],[020007.OF]
2010-04-30 00:00:00.005,[020010.OF],[020007.OF]
2010-05-31 00:00:00.005,[020010.OF],[020007.OF]
2010-06-30 00:00:00.005,[020010.OF],[020007.OF]
2010-07-30 00:00:00.005,[002031.OF],[020007.OF]
2010-08-31 00:00:00.005,[000001.OF],[020007.OF]
2010-09-30 00:00:00.005,[020001.OF],[020007.OF]
2010-10-29 00:00:00.005,[000001.OF],[020007.OF]
2010-11-30 00:00:00.005,[000001.OF],[020007.OF]
2010-12-31 00:00:00.005,[000021.OF],[020007.OF]
2011-01-31 00:00:00.005,"[000001.OF, 000011.OF]","[020007.OF, 020012.OF]"
2011-02-28 00:00:00.005,"[002031.OF, 000001.OF]","[020007.OF, 020012.OF]"
2011-03-31 00:00:00.005,"[000011.OF, 000001.OF]","[020007.OF, 020012.OF]"
2011-04-29 00:00:00.005,"[000021.OF, 000001.OF]","[020007.OF, 003003.OF]"
2011-05-31 00:00:00.005,"[001013.OF, 000001.OF]","[020007.OF, 003003.OF]"
2011-06-30 00:00:00.005,"[000001.OF, 001013.OF]","[020007.OF, 000041.OF]"
2011-07-29 00:00:00.005,"[001011.OF, 001013.OF]","[020007.OF, 000041.OF]"
2011-08-31 00:00:00.005,"[002021.OF, 002001.OF]","[003003.OF, 020007.OF]"
2011-09-30 00:00:00.005,"[000061.OF, 001011.OF]","[003003.OF, 000041.OF]"
2011-10-31 00:00:00.005,"[000061.OF, 001011.OF]","[003003.OF, 000041.OF]"
2011-11-30 00:00:00.005,"[000061.OF, 001011.OF]","[003003.OF, 000041.OF]"
2011-12-30 00:00:00.005,"[000061.OF, 001011.OF]","[003003.OF, 000041.OF]"
2012-01-31 00:00:00.005,"[000061.OF, 001011.OF]","[003003.OF, 000041.OF]"
2012-02-29 00:00:00.005,"[000021.OF, 001011.OF]","[003003.OF, 000041.OF]"
2012-03-30 00:00:00.005,"[020003.OF, 001011.OF]","[003003.OF, 020007.OF]"
2012-04-27 00:00:00.005,"[020003.OF, 001011.OF]","[003003.OF, 020007.OF]"
2012-05-31 00:00:00.005,"[000041.OF, 001011.OF]","[003003.OF, 020007.OF]"
2012-06-29 00:00:00.005,"[020005.OF, 001011.OF]","[003003.OF, 020007.OF]"
2012-07-31 00:00:00.005,"[020001.OF, 020010.OF]","[003003.OF, 000041.OF]"
2012-08-31 00:00:00.005,"[000021.OF, 000041.OF]","[003003.OF, 020007.OF]"
2012-09-28 00:00:00.005,"[020002.OF, 001003.OF]","[003003.OF, 020007.OF]"
2012-10-31 00:00:00.005,"[001013.OF, 001003.OF]","[003003.OF, 020007.OF]"
2012-11-30 00:00:00.005,"[001013.OF, 001003.OF]","[003003.OF, 020007.OF]"
2012-12-31 00:00:00.005,"[001013.OF, 001003.OF]","[003003.OF, 020007.OF]"
2013-01-31 00:00:00.005,"[001013.OF, 001003.OF]","[003003.OF, 020007.OF]"
2013-02-28 00:00:00.005,"[001013.OF, 001003.OF]","[003003.OF, 020007.OF]"
2013-03-29 00:00:00.005,"[001013.OF, 001003.OF]","[003003.OF, 020007.OF]"
2013-04-26 00:00:00.005,"[001013.OF, 001003.OF]","[003003.OF, 020007.OF]"
2013-05-31 00:00:00.005,"[020002.OF, 001013.OF]","[003003.OF, 020007.OF]"
2013-06-28 00:00:00.005,"[001013.OF, 001001.OF]","[003003.OF, 020007.OF]"
2013-07-31 00:00:00.005,"[001013.OF, 001001.OF]","[003003.OF, 020007.OF]"
2013-08-30 00:00:00.005,"[001013.OF, 001001.OF]","[003003.OF, 020007.OF]"
2013-09-30 00:00:00.005,"[001013.OF, 001001.OF]","[003003.OF, 020007.OF]"
2013-10-31 00:00:00.005,"[001013.OF, 001001.OF]","[003003.OF, 020007.OF]"
2013-11-29 00:00:00.005,"[001013.OF, 001001.OF]","[003003.OF, 020007.OF]"
2013-12-31 00:00:00.005,"[001013.OF, 001001.OF]","[003003.OF, 020007.OF]"
2014-01-30 00:00:00.005,"[001013.OF, 001001.OF]","[003003.OF, 020007.OF]"
2014-02-28 00:00:00.005,"[001013.OF, 001001.OF]","[003003.OF, 020007.OF]"
2014-03-31 00:00:00.005,"[001013.OF, 001001.OF]","[003003.OF, 020007.OF]"
2014-04-30 00:00:00.005,"[001003.OF, 001001.OF]","[003003.OF, 020007.OF]"
2014-05-30 00:00:00.005,"[001003.OF, 001001.OF]","[003003.OF, 020007.OF]"
2014-06-30 00:00:00.005,"[001003.OF, 001001.OF]","[003003.OF, 020007.OF]"
2014-07-31 00:00:00.005,"[001013.OF, 001003.OF, 001001.OF]","[003003.OF, 001058.OF, 001057.OF]"
2014-08-29 00:00:00.005,"[001013.OF, 001003.OF, 001001.OF]","[003003.OF, 001058.OF, 001057.OF]"
2014-09-30 00:00:00.005,"[001011.OF, 001003.OF, 001001.OF]","[003003.OF, 001058.OF, 001057.OF]"
2014-10-31 00:00:00.005,"[001011.OF, 001003.OF, 001001.OF]","[003003.OF, 001058.OF, 001057.OF]"
2014-11-28 00:00:00.005,"[020002.OF, 001011.OF, 001003.OF, 001001.OF]","[003003.OF, 001058.OF, 001057.OF, 020007.OF]"
2014-12-31 00:00:00.005,"[000071.OF, 000017.OF, 020012.OF, 020002.OF, 001001.OF]","[003003.OF, 001058.OF, 001057.OF, 020007.OF, 000089.OF]"
2015-01-30 00:00:00.005,"[000093.OF, 000071.OF, 000029.OF, 020012.OF, 020002.OF, 001001.OF]","[003003.OF, 001058.OF, 001057.OF, 000089.OF, 020007.OF, 000090.OF]"
2015-02-27 00:00:00.005,"[000029.OF, 000008.OF, 000017.OF, 020012.OF, 020002.OF, 001003.OF, 001001.OF]","[003003.OF, 001058.OF, 001057.OF, 001077.OF, 000089.OF, 000090.OF, 020007.OF]"
