,replicable_funds,un_replicable_funds
2006-01-25 00:00:00.005,,
2006-02-28 00:00:00.005,,
2006-03-31 00:00:00.005,,
2006-04-28 00:00:00.005,,
2006-05-31 00:00:00.005,,
2006-06-30 00:00:00.005,,
2006-07-31 00:00:00.005,,
2006-08-31 00:00:00.005,,
2006-09-29 00:00:00.005,"[110001.OF, 121002.OF, 000011.OF, 050004.OF, 162201.OF, 000001.OF]","[161605.OF, 160603.OF, 202001.OF, 288001.OF, 070006.OF, 090001.OF]"
2006-10-31 00:00:00.005,"[110001.OF, 121002.OF, 000011.OF, 050004.OF, 000001.OF, 162201.OF]","[160603.OF, 202001.OF, 161605.OF, 288001.OF, 090001.OF, 398001.OF]"
2006-11-30 00:00:00.005,"[160505.OF, 121002.OF, 000011.OF, 050004.OF, 000001.OF, 162201.OF]","[160603.OF, 213002.OF, 161605.OF, 202001.OF, 290002.OF, 288001.OF]"
2006-12-29 00:00:00.005,"[160505.OF, 217001.OF, 162201.OF, 121002.OF, 000001.OF, 050004.OF]","[202001.OF, 160603.OF, 090001.OF, 151001.OF, 290002.OF, 213002.OF]"
2007-01-31 00:00:00.005,"[020001.OF, 161601.OF, 050001.OF, 161606.OF, 000001.OF, 050004.OF]","[202001.OF, 160603.OF, 162102.OF, 090001.OF, 162703.OF, 290002.OF]"
2007-02-28 00:00:00.005,"[100016.OF, 161605.OF, 163801.OF, 070001.OF, 320001.OF, 050004.OF]","[151001.OF, 290002.OF, 375010.OF, 090004.OF, 160603.OF, 020003.OF]"
2007-03-30 00:00:00.005,"[202001.OF, 100016.OF, 161605.OF, 163801.OF, 070001.OF, 320001.OF, 050004.OF]","[151001.OF, 160603.OF, 375010.OF, 020003.OF, 162703.OF, 290002.OF, 090004.OF]"
2007-04-30 00:00:00.005,"[100016.OF, 519087.OF, 163801.OF, 161605.OF, 070001.OF, 320001.OF, 050004.OF]","[151001.OF, 375010.OF, 162703.OF, 160603.OF, 090004.OF, 213002.OF, 020003.OF]"
2007-05-31 00:00:00.005,"[519688.OF, 320001.OF, 163801.OF, 000011.OF, 519087.OF, 161605.OF, 050004.OF]","[162703.OF, 162102.OF, 213002.OF, 160603.OF, 151001.OF, 020003.OF, 080001.OF]"
2007-06-29 00:00:00.005,"[519688.OF, 163801.OF, 202001.OF, 000011.OF, 320001.OF, 519087.OF, 161605.OF, 050004.OF]","[162703.OF, 213002.OF, 162102.OF, 160603.OF, 151001.OF, 481001.OF, 100022.OF, 020003.OF]"
2007-07-31 00:00:00.005,"[050001.OF, 288002.OF, 202001.OF, 000011.OF, 320001.OF, 519087.OF, 161605.OF, 050004.OF]","[020003.OF, 080001.OF, 020005.OF, 100022.OF, 162703.OF, 213002.OF, 020001.OF, 160603.OF]"
2007-08-31 00:00:00.005,"[240004.OF, 320001.OF, 000011.OF, 400003.OF, 202001.OF, 288002.OF, 519087.OF, 050004.OF, 161605.OF]","[020003.OF, 080001.OF, 020005.OF, 100022.OF, 410001.OF, 162703.OF, 151001.OF, 213002.OF, 162102.OF]"
2007-09-28 00:00:00.005,"[160605.OF, 202001.OF, 100016.OF, 400003.OF, 000011.OF, 288002.OF, 519087.OF, 161605.OF, 050004.OF]","[080001.OF, 020003.OF, 100022.OF, 020005.OF, 002001.OF, 151001.OF, 090004.OF, 410001.OF, 510081.OF]"
2007-10-31 00:00:00.005,"[320001.OF, 202001.OF, 100016.OF, 400003.OF, 000011.OF, 288002.OF, 519087.OF, 161605.OF, 050004.OF]","[020003.OF, 080001.OF, 020005.OF, 100022.OF, 002001.OF, 510081.OF, 481001.OF, 090004.OF, 020001.OF]"
2007-11-30 00:00:00.005,"[400003.OF, 202001.OF, 288002.OF, 257010.OF, 000011.OF, 519087.OF, 160505.OF, 161605.OF, 050004.OF]","[100022.OF, 020003.OF, 020005.OF, 080001.OF, 162102.OF, 481001.OF, 020001.OF, 320003.OF, 257020.OF]"
2007-12-28 00:00:00.005,"[320001.OF, 000011.OF, 257010.OF, 100016.OF, 519087.OF, 202001.OF, 160505.OF, 161605.OF, 050004.OF]","[080001.OF, 020003.OF, 020005.OF, 100022.OF, 020001.OF, 410001.OF, 481001.OF, 090004.OF, 162102.OF]"
2008-01-31 00:00:00.005,"[320001.OF, 000001.OF, 160505.OF, 100016.OF, 163801.OF, 202001.OF, 519087.OF, 050007.OF, 161605.OF, 050004.OF]","[020003.OF, 080001.OF, 100022.OF, 020005.OF, 020001.OF, 481001.OF, 410001.OF, 090004.OF, 090003.OF, 151001.OF]"
2008-02-29 00:00:00.005,"[100016.OF, 000001.OF, 160605.OF, 519087.OF, 163801.OF, 050007.OF, 320001.OF, 202001.OF, 161605.OF, 050004.OF]","[080001.OF, 020003.OF, 020005.OF, 100022.OF, 002001.OF, 090003.OF, 090004.OF, 162202.OF, 450002.OF, 481001.OF]"
2008-03-31 00:00:00.005,"[000001.OF, 160605.OF, 519087.OF, 202002.OF, 320001.OF, 163801.OF, 050007.OF, 202001.OF, 161605.OF, 050004.OF]","[080001.OF, 020003.OF, 020005.OF, 100022.OF, 090003.OF, 090004.OF, 002001.OF, 162202.OF, 450002.OF, 481001.OF]"
2008-04-30 00:00:00.005,"[217001.OF, 240004.OF, 163801.OF, 540002.OF, 519087.OF, 270002.OF, 270006.OF, 160505.OF, 161605.OF, 050004.OF, 050007.OF]","[080001.OF, 481001.OF, 040005.OF, 070001.OF, 162102.OF, 020003.OF, 320003.OF, 398001.OF, 100022.OF, 020005.OF, 450002.OF]"
2008-05-30 00:00:00.005,"[000011.OF, 270002.OF, 270006.OF, 340006.OF, 002021.OF, 240004.OF, 161605.OF, 519087.OF, 160505.OF, 202001.OF, 050004.OF, 050007.OF]","[080001.OF, 040005.OF, 070001.OF, 481001.OF, 162102.OF, 020003.OF, 450002.OF, 320003.OF, 100022.OF, 160607.OF, 483003.OF, 163804.OF]"
2008-06-30 00:00:00.005,"[002001.OF, 240004.OF, 090003.OF, 519087.OF, 100016.OF, 240005.OF, 160505.OF, 519008.OF, 202001.OF, 519688.OF, 163801.OF, 050004.OF, 050007.OF]","[560002.OF, 100026.OF, 260109.OF, 162102.OF, 590001.OF, 040005.OF, 080001.OF, 163804.OF, 550002.OF, 160607.OF, 257020.OF, 483003.OF, 160603.OF]"
2008-07-31 00:00:00.005,"[519087.OF, 002001.OF, 161605.OF, 310308.OF, 240004.OF, 090003.OF, 240005.OF, 160505.OF, 202001.OF, 519008.OF, 519688.OF, 163801.OF, 050004.OF, 050007.OF]","[070011.OF, 481004.OF, 310358.OF, 560002.OF, 320005.OF, 519181.OF, 162208.OF, 000021.OF, 100026.OF, 162102.OF, 121005.OF, 260109.OF, 590001.OF, 202003.OF]"
2008-08-29 00:00:00.005,"[161903.OF, 540002.OF, 000011.OF, 163801.OF, 360001.OF, 270006.OF, 519993.OF, 340006.OF, 519994.OF, 160505.OF, 580002.OF, 160805.OF, 050004.OF, 050007.OF]","[080001.OF, 260109.OF, 560002.OF, 070001.OF, 162202.OF, 100026.OF, 162204.OF, 070006.OF, 050001.OF, 590001.OF, 002001.OF, 070002.OF, 121002.OF, 100020.OF]"
2008-09-26 00:00:00.005,"[519688.OF, 110001.OF, 270006.OF, 340006.OF, 519993.OF, 360001.OF, 161903.OF, 160505.OF, 519994.OF, 580002.OF, 163801.OF, 160805.OF, 050007.OF, 050004.OF]","[080001.OF, 260109.OF, 560002.OF, 162202.OF, 162204.OF, 100026.OF, 590001.OF, 070001.OF, 162006.OF, 070002.OF, 070006.OF, 002001.OF, 050001.OF, 100020.OF]"
2008-10-31 00:00:00.005,"[213003.OF, 100022.OF, 519994.OF, 110001.OF, 320003.OF, 270006.OF, 519688.OF, 580002.OF, 519993.OF, 360001.OF, 161903.OF, 050007.OF, 163801.OF, 160805.OF, 050004.OF]","[080001.OF, 560002.OF, 260109.OF, 450003.OF, 610001.OF, 166001.OF, 002001.OF, 162204.OF, 162202.OF, 070001.OF, 100026.OF, 070006.OF, 070002.OF, 162006.OF, 160610.OF]"
2008-11-28 00:00:00.005,"[519993.OF, 377010.OF, 270002.OF, 519008.OF, 270005.OF, 240009.OF, 340006.OF, 270006.OF, 240004.OF, 161903.OF, 050007.OF, 519688.OF, 360001.OF, 160805.OF, 163801.OF, 050004.OF]","[080001.OF, 530005.OF, 450003.OF, 160610.OF, 560002.OF, 260109.OF, 162102.OF, 233001.OF, 162204.OF, 070001.OF, 320001.OF, 410003.OF, 162202.OF, 050001.OF, 163302.OF, 398021.OF]"
