,replicable_funds,un_replicable_funds
2006-01-25 00:00:00.005,,
2006-02-28 00:00:00.005,,
2006-03-31 00:00:00.005,,
2006-04-28 00:00:00.005,,
2006-05-31 00:00:00.005,,
2006-06-30 00:00:00.005,,
2006-07-31 00:00:00.005,,
2006-08-31 00:00:00.005,,
2006-09-29 00:00:00.005,,
2006-10-31 00:00:00.005,,
2006-11-30 00:00:00.005,,
2006-12-29 00:00:00.005,,
2007-01-31 00:00:00.005,,
2007-02-28 00:00:00.005,,
2007-03-30 00:00:00.005,,
2007-04-30 00:00:00.005,,
2007-05-31 00:00:00.005,,
2007-06-29 00:00:00.005,,
2007-07-31 00:00:00.005,,
2007-08-31 00:00:00.005,,
2007-09-28 00:00:00.005,,
2007-10-31 00:00:00.005,,
2007-11-30 00:00:00.005,"[240004.OF, 217001.OF, 288002.OF, 050004.OF, 519087.OF, 257010.OF, 160505.OF, 000011.OF, 161605.OF]","[100022.OF, 020003.OF, 020005.OF, 510081.OF, 162102.OF, 410001.OF, 080001.OF, 020001.OF, 377010.OF]"
2007-12-28 00:00:00.005,"[160605.OF, 400003.OF, 257010.OF, 000011.OF, 519087.OF, 202001.OF, 160505.OF, 050004.OF, 161605.OF]","[080001.OF, 020003.OF, 020005.OF, 100022.OF, 020001.OF, 481001.OF, 090004.OF, 257020.OF, 377010.OF]"
2008-01-31 00:00:00.005,"[288002.OF, 160605.OF, 161601.OF, 400003.OF, 160505.OF, 519087.OF, 202001.OF, 050004.OF, 050007.OF, 161605.OF]","[020003.OF, 080001.OF, 020005.OF, 100022.OF, 020001.OF, 481001.OF, 090004.OF, 002001.OF, 090003.OF, 257020.OF]"
2008-02-29 00:00:00.005,"[257010.OF, 000011.OF, 217001.OF, 160605.OF, 519087.OF, 320001.OF, 050007.OF, 050004.OF, 202001.OF, 161605.OF]","[080001.OF, 020003.OF, 020005.OF, 100022.OF, 002001.OF, 090003.OF, 090004.OF, 481001.OF, 320003.OF, 020001.OF]"
2008-03-31 00:00:00.005,"[519087.OF, 217001.OF, 320001.OF, 160605.OF, 000011.OF, 202002.OF, 050007.OF, 050004.OF, 202001.OF, 161605.OF]","[080001.OF, 020003.OF, 020005.OF, 100022.OF, 090003.OF, 320003.OF, 090004.OF, 481001.OF, 020001.OF, 002001.OF]"
2008-04-30 00:00:00.005,"[240005.OF, 160505.OF, 160105.OF, 360001.OF, 163801.OF, 000001.OF, 050007.OF, 161605.OF, 217001.OF, 519087.OF, 050004.OF]","[080001.OF, 040005.OF, 481001.OF, 020003.OF, 070001.OF, 162102.OF, 112002.OF, 590001.OF, 160607.OF, 151001.OF, 320003.OF]"
2008-05-30 00:00:00.005,"[240005.OF, 121002.OF, 360001.OF, 510081.OF, 202001.OF, 217001.OF, 160105.OF, 000001.OF, 161605.OF, 050007.OF, 519087.OF, 050004.OF]","[080001.OF, 040005.OF, 481001.OF, 070001.OF, 320003.OF, 020003.OF, 151001.OF, 590001.OF, 110009.OF, 160607.OF, 162102.OF, 163804.OF]"
2008-06-30 00:00:00.005,"[288002.OF, 002001.OF, 310308.OF, 240004.OF, 240005.OF, 161605.OF, 519688.OF, 160105.OF, 160505.OF, 519087.OF, 202001.OF, 050004.OF, 050007.OF]","[080001.OF, 560002.OF, 260109.OF, 100026.OF, 162102.OF, 590001.OF, 040005.OF, 550002.OF, 163804.OF, 070001.OF, 160607.OF, 483003.OF, 020009.OF]"
2008-07-31 00:00:00.005,"[270002.OF, 519008.OF, 002001.OF, 240005.OF, 240004.OF, 160105.OF, 161605.OF, 519688.OF, 310308.OF, 519087.OF, 160505.OF, 202001.OF, 050004.OF, 050007.OF]","[070011.OF, 481004.OF, 080001.OF, 310358.OF, 560002.OF, 320005.OF, 519181.OF, 260109.OF, 100026.OF, 162208.OF, 000021.OF, 162102.OF, 121005.OF, 290004.OF]"
2008-08-29 00:00:00.005,"[540002.OF, 270006.OF, 002011.OF, 410001.OF, 000021.OF, 290002.OF, 050007.OF, 340006.OF, 378010.OF, 550002.OF, 519993.OF, 519994.OF, 580002.OF, 160805.OF]","[080001.OF, 070001.OF, 260109.OF, 020003.OF, 020005.OF, 100022.OF, 200006.OF, 100026.OF, 002001.OF, 320001.OF, 450002.OF, 260104.OF, 020001.OF, 070006.OF]"
2008-09-26 00:00:00.005,"[163804.OF, 310358.OF, 002011.OF, 410001.OF, 000021.OF, 340006.OF, 290002.OF, 378010.OF, 050007.OF, 550002.OF, 519993.OF, 580002.OF, 519994.OF, 160805.OF]","[080001.OF, 070001.OF, 260109.OF, 020003.OF, 020005.OF, 200006.OF, 100022.OF, 320001.OF, 100026.OF, 260104.OF, 450002.OF, 020001.OF, 002001.OF, 162006.OF]"
2008-10-31 00:00:00.005,"[257020.OF, 375010.OF, 270006.OF, 163804.OF, 340006.OF, 162703.OF, 410001.OF, 290002.OF, 550002.OF, 378010.OF, 050007.OF, 519993.OF, 519994.OF, 160805.OF, 580002.OF]","[080001.OF, 070001.OF, 260109.OF, 020003.OF, 610001.OF, 020005.OF, 100022.OF, 020001.OF, 002001.OF, 200006.OF, 410003.OF, 450003.OF, 166001.OF, 260104.OF, 100026.OF]"
2008-11-28 00:00:00.005,"[270006.OF, 162703.OF, 240004.OF, 240009.OF, 257020.OF, 257010.OF, 378010.OF, 375010.OF, 050007.OF, 050004.OF, 340006.OF, 550002.OF, 519994.OF, 519993.OF, 580002.OF, 160805.OF]","[080001.OF, 070001.OF, 260109.OF, 020003.OF, 050008.OF, 100022.OF, 410003.OF, 040007.OF, 450003.OF, 260104.OF, 450002.OF, 320001.OF, 020001.OF, 530005.OF, 002001.OF, 020005.OF]"
2008-12-31 00:00:00.005,"[519087.OF, 360006.OF, 270005.OF, 121003.OF, 257010.OF, 340006.OF, 550002.OF, 580002.OF, 240004.OF, 519993.OF, 160805.OF, 257020.OF, 050004.OF, 519994.OF, 162703.OF, 375010.OF]","[080001.OF, 519015.OF, 070001.OF, 260109.OF, 020003.OF, 050008.OF, 410003.OF, 040007.OF, 202005.OF, 450003.OF, 100022.OF, 020001.OF, 530005.OF, 610001.OF, 162006.OF, 450002.OF]"
2009-01-23 00:00:00.005,"[400003.OF, 378010.OF, 410001.OF, 270005.OF, 590001.OF, 000011.OF, 121003.OF, 340006.OF, 519087.OF, 161601.OF, 161609.OF, 000001.OF, 050007.OF, 580002.OF, 162703.OF, 519994.OF, 375010.OF]","[080001.OF, 070001.OF, 519015.OF, 630001.OF, 020003.OF, 020001.OF, 050008.OF, 450003.OF, 260109.OF, 040007.OF, 100022.OF, 410003.OF, 162006.OF, 202005.OF, 610001.OF, 530005.OF, 160610.OF]"
2009-02-27 00:00:00.005,"[161609.OF, 550002.OF, 519087.OF, 519996.OF, 121003.OF, 000001.OF, 400003.OF, 000011.OF, 160311.OF, 162703.OF, 050007.OF, 161601.OF, 020010.OF, 202001.OF, 519993.OF, 519994.OF, 375010.OF]","[070001.OF, 260109.OF, 080001.OF, 481001.OF, 100026.OF, 260104.OF, 040001.OF, 040004.OF, 450002.OF, 162204.OF, 519015.OF, 020003.OF, 162201.OF, 288001.OF, 162202.OF, 200006.OF, 050008.OF]"
2009-03-31 00:00:00.005,"[519993.OF, 340006.OF, 050007.OF, 160910.OF, 202001.OF, 121003.OF, 260110.OF, 162703.OF, 519087.OF, 161601.OF, 257030.OF, 161610.OF, 160311.OF, 020010.OF, 375010.OF, 519994.OF, 519694.OF, 200008.OF]","[070001.OF, 260109.OF, 481001.OF, 519017.OF, 162204.OF, 040004.OF, 260104.OF, 100026.OF, 040001.OF, 162202.OF, 162203.OF, 450002.OF, 070006.OF, 090003.OF, 040005.OF, 530001.OF, 080001.OF, 519015.OF]"
2009-04-30 00:00:00.005,"[410001.OF, 202002.OF, 340006.OF, 519993.OF, 121003.OF, 020010.OF, 162703.OF, 161610.OF, 161601.OF, 260110.OF, 202001.OF, 519087.OF, 257030.OF, 160311.OF, 519694.OF, 375010.OF, 519994.OF, 200008.OF]","[070001.OF, 260109.OF, 481001.OF, 519017.OF, 162204.OF, 040004.OF, 100026.OF, 260104.OF, 040001.OF, 162203.OF, 162202.OF, 080001.OF, 070006.OF, 450002.OF, 050001.OF, 040005.OF, 519015.OF, 530001.OF]"
2009-05-27 00:00:00.005,"[360007.OF, 050004.OF, 000011.OF, 160311.OF, 160910.OF, 162703.OF, 240010.OF, 257030.OF, 410001.OF, 260110.OF, 020010.OF, 519993.OF, 519087.OF, 161610.OF, 519694.OF, 375010.OF, 519994.OF, 200008.OF]","[481006.OF, 260109.OF, 162204.OF, 070001.OF, 162202.OF, 050007.OF, 162203.OF, 519017.OF, 481001.OF, 040001.OF, 162207.OF, 070006.OF, 260104.OF, 090003.OF, 100026.OF, 100020.OF, 202003.OF, 040004.OF]"
