,wind_code
0,159001.SZ
1,159003.SZ
2,159005.SZ
3,159901.SZ
4,159902.SZ
5,159903.SZ
6,159905.SZ
7,159906.SZ
8,159907.SZ
9,159908.SZ
10,159909.SZ
11,159910.SZ
12,159911.SZ
13,159912.SZ
14,159913.SZ
15,159915.SZ
16,159916.SZ
17,159918.SZ
18,159919.SZ
19,159920.SZ
20,159921.SZ
21,159922.SZ
22,159923.SZ
23,159924.SZ
24,159925.SZ
25,159926.SZ
26,159927.SZ
27,159928.SZ
28,159929.SZ
29,159930.SZ
30,159931.SZ
31,159932.SZ
32,159933.SZ
33,159934.SZ
34,159935.SZ
35,159936.SZ
36,159937.SZ
37,159938.SZ
38,159939.SZ
39,159940.SZ
40,159941.SZ
41,159942.SZ
42,159943.SZ
43,159944.SZ
44,159945.SZ
45,159946.SZ
46,159948.SZ
47,159949.SZ
0,510010.SH
1,510020.SH
2,510030.SH
3,510050.SH
4,510060.SH
5,510070.SH
6,510090.SH
7,510110.SH
8,510120.SH
9,510130.SH
10,510150.SH
11,510160.SH
12,510170.SH
13,510180.SH
14,510190.SH
15,510210.SH
16,510220.SH
17,510230.SH
18,510260.SH
19,510270.SH
20,510280.SH
21,510290.SH
22,510300.SH
23,510310.SH
24,510330.SH
25,510360.SH
26,510410.SH
27,510420.SH
28,510430.SH
29,510440.SH
30,510500.SH
31,510510.SH
32,510520.SH
33,510560.SH
34,510580.SH
35,510630.SH
36,510650.SH
37,510660.SH
38,510680.SH
39,510710.SH
40,510810.SH
41,510880.SH
42,510900.SH
43,511010.SH
44,511210.SH
45,511220.SH
46,511230.SH
47,511600.SH
48,511650.SH
49,511660.SH
50,511680.SH
51,511690.SH
52,511700.SH
53,511760.SH
54,511800.SH
55,511810.SH
56,511820.SH
57,511830.SH
58,511850.SH
59,511860.SH
60,511880.SH
61,511890.SH
62,511900.SH
63,511910.SH
64,511920.SH
65,511930.SH
66,511950.SH
67,511960.SH
68,511970.SH
69,511980.SH
70,511990.SH
71,512000.SH
72,512010.SH
73,512070.SH
74,512100.SH
75,512120.SH
76,512210.SH
77,512220.SH
78,512230.SH
79,512300.SH
80,512310.SH
81,512330.SH
82,512340.SH
83,512500.SH
84,512510.SH
85,512580.SH
86,512600.SH
87,512610.SH
88,512640.SH
89,512660.SH
90,512680.SH
91,512810.SH
92,512880.SH
93,512990.SH
94,513030.SH
95,513050.SH
96,513100.SH
97,513500.SH
98,513600.SH
99,513660.SH
100,518800.SH
101,518880.SH
