,wind_code
0,XT060203.XT
1,XT070920.XT
2,XT080147.XT
3,XT091190.XT
4,XT100472.XT
5,XT1105395.XT
6,XT1105396.XT
7,XT110845.XT
8,XT112064.XT
9,XT112211.XT
10,XT112480.XT
11,XT112610.XT
12,XT112611.XT
13,XT112617.XT
14,XT112619.XT
15,XT113833.XT
16,XT113997.XT
17,XT113998.XT
18,XT113999.XT
19,XT114000.XT
20,XT114374.XT
21,XT114586.XT
22,XT114587.XT
23,XT114588.XT
24,XT114589.XT
25,XT115211.XT
26,XT115212.XT
27,XT120494.XT
28,XT120995.XT
29,XT120996.XT
30,XT122214.XT
31,XT122788.XT
32,XT122790.XT
33,XT122791.XT
34,XT122792.XT
35,XT122793.XT
36,XT122794.XT
37,XT122795.XT
38,XT122796.XT
39,XT122797.XT
40,XT123028.XT
41,XT123092.XT
42,XT123258.XT
43,XT123312.XT
44,XT123431.XT
45,XT124039.XT
46,XT124040.XT
47,XT124367.XT
48,XT124444.XT
49,XT124445.XT
50,XT124446.XT
51,XT124476.XT
52,XT124605.XT
53,XT124870.XT
54,XT124915.XT
55,XT125384.XT
56,XT125922.XT
57,XT125927.XT
58,XT130189.XT
59,XT130204.XT
60,XT130372.XT
61,XT130477.XT
62,XT130684.XT
63,XT130685.XT
64,XT130740.XT
65,XT130741.XT
66,XT130828.XT
67,XT130881.XT
68,XT130987.XT
69,XT131187.XT
70,XT131263.XT
71,XT131399.XT
72,XT131408.XT
73,XT131692.XT
74,XT131696.XT
75,XT131697.XT
76,XT131741.XT
77,XT131995.XT
78,XT132013.XT
79,XT132052.XT
80,XT132053.XT
81,XT132068.XT
82,XT132190.XT
83,XT132191.XT
84,XT132192.XT
85,XT132193.XT
86,XT132194.XT
87,XT132195.XT
88,XT132337.XT
89,XT132454.XT
90,XT132494.XT
91,XT132544.XT
92,XT132740.XT
93,XT132797.XT
94,XT132798.XT
95,XT133324.XT
96,XT133518.XT
97,XT133540.XT
98,XT133541.XT
99,XT133542.XT
100,XT133543.XT
101,XT133610.XT
102,XT133672.XT
103,XT133752.XT
104,XT133774.XT
105,XT133987.XT
106,XT133988.XT
107,XT133989.XT
108,XT134031.XT
109,XT134041.XT
110,XT134112.XT
111,XT134113.XT
112,XT134197.XT
113,XT134198.XT
114,XT134504.XT
115,XT134529.XT
116,XT134557.XT
117,XT135115.XT
118,XT135569.XT
119,XT135700.XT
120,XT135855.XT
121,XT136558.XT
122,XT136784.XT
123,XT136837.XT
124,XT140072.XT
125,XT140382.XT
126,XT140455.XT
127,XT140618.XT
128,XT1410183.XT
129,XT1410245.XT
130,XT1411169.XT
131,XT1411467.XT
132,XT1411469.XT
133,XT1411470.XT
134,XT1411471.XT
135,XT1411479.XT
136,XT1411486.XT
137,XT1411730.XT
138,XT1411736.XT
139,XT1411775.XT
140,XT1411776.XT
141,XT1411782.XT
142,XT1412090.XT
143,XT1412095.XT
144,XT1412098.XT
145,XT1412239.XT
146,XT1412450.XT
147,XT1412456.XT
148,XT1412457.XT
149,XT1412471.XT
150,XT1412658.XT
151,XT1412666.XT
152,XT1412670.XT
153,XT1412672.XT
154,XT1412673.XT
155,XT1412674.XT
156,XT1412675.XT
157,XT1412676.XT
158,XT1412679.XT
159,XT1412687.XT
160,XT1412688.XT
161,XT1412699.XT
162,XT1412703.XT
163,XT1412814.XT
164,XT1413019.XT
165,XT1413024.XT
166,XT1413161.XT
167,XT1413309.XT
168,XT1413385.XT
169,XT1413691.XT
170,XT1414239.XT
171,XT141664.XT
172,XT141999.XT
173,XT142086.XT
174,XT142225.XT
175,XT142389.XT
176,XT142391.XT
