,wind_code
0,000082.OF
1,000309.OF
2,000409.OF
3,000411.OF
4,000418.OF
5,000457.OF
6,000471.OF
7,000513.OF
8,000524.OF
9,000549.OF
10,000577.OF
11,000586.OF
12,000592.OF
13,000594.OF
14,000628.OF
15,000688.OF
16,000696.OF
17,000697.OF
18,000711.OF
19,000729.OF
20,000746.OF
21,000751.OF
22,000756.OF
23,000761.OF
24,000778.OF
25,000780.OF
26,000793.OF
27,000803.OF
28,000828.OF
29,000831.OF
30,000854.OF
31,000866.OF
32,000867.OF
33,000884.OF
34,000893.OF
35,000913.OF
36,000916.OF
37,000925.OF
38,000955.OF
39,000960.OF
40,000971.OF
41,000974.OF
42,000978.OF
43,000979.OF
44,000985.OF
45,000991.OF
46,000996.OF
47,001008.OF
48,001009.OF
49,001028.OF
50,001036.OF
51,001039.OF
52,001040.OF
53,001042.OF
54,001043.OF
55,001044.OF
56,001047.OF
57,001048.OF
58,001050.OF
59,001054.OF
60,001070.OF
61,001072.OF
62,001097.OF
63,001104.OF
64,001105.OF
65,001126.OF
66,001158.OF
67,001162.OF
68,001163.OF
69,001166.OF
70,001167.OF
71,001171.OF
72,001178.OF
73,001186.OF
74,001188.OF
75,001193.OF
76,001195.OF
77,001208.OF
78,001223.OF
79,001230.OF
80,001236.OF
81,001245.OF
82,001277.OF
83,001291.OF
84,001313.OF
85,001319.OF
86,001396.OF
87,001404.OF
88,001409.OF
89,001410.OF
90,001416.OF
91,001421.OF
92,001473.OF
93,001476.OF
94,001482.OF
95,001490.OF
96,001496.OF
97,001521.OF
98,001528.OF
99,001541.OF
100,001542.OF
101,001577.OF
102,001583.OF
103,001605.OF
104,001616.OF
105,001626.OF
106,001628.OF
107,001637.OF
108,001638.OF
109,001643.OF
110,001644.OF
111,001645.OF
112,001651.OF
113,001663.OF
114,001672.OF
115,001677.OF
116,001685.OF
117,001692.OF
118,001703.OF
119,001705.OF
120,001714.OF
121,001717.OF
122,001718.OF
123,001719.OF
124,001726.OF
125,001733.OF
126,001736.OF
127,001764.OF
128,001766.OF
129,001781.OF
130,001849.OF
131,001877.OF
132,001878.OF
133,001915.OF
134,001917.OF
135,001938.OF
136,001956.OF
137,001974.OF
138,001975.OF
139,002121.OF
140,002168.OF
141,002210.OF
142,002229.OF
143,002300.OF
144,002332.OF
145,002333.OF
146,002334.OF
147,002335.OF
148,002387.OF
149,002556.OF
150,002595.OF
151,002621.OF
152,002697.OF
153,002952.OF
154,002980.OF
155,003053.OF
156,003054.OF
157,003145.OF
158,003298.OF
159,003299.OF
160,003312.OF
161,003416.OF
162,003492.OF
163,003622.OF
164,003623.OF
165,003624.OF
166,003625.OF
167,003634.OF
168,003865.OF
169,003956.OF
170,110022.OF
171,160127.OF
172,160133.OF
173,160322.OF
174,160919.OF
175,162107.OF
176,162208.OF
177,163110.OF
178,165310.OF
179,206012.OF
180,320022.OF
181,340006.OF
182,360001.OF
183,376510.OF
184,399011.OF
185,450009.OF
186,519606.OF
187,519673.OF
188,519714.OF
189,519935.OF
190,519965.OF
191,519975.OF
192,540006.OF
193,540007.OF
194,540008.OF
195,540009.OF
196,540010.OF
197,960000.OF
198,000001.OF
199,000011.OF
200,000017.OF
201,000020.OF
202,000021.OF
203,000031.OF
204,000039.OF
205,000056.OF
206,000057.OF
207,000061.OF
208,000083.OF
209,000117.OF
210,000120.OF
211,000124.OF
212,000127.OF
213,000172.OF
214,000173.OF
215,000209.OF
216,000220.OF
217,000251.OF
218,000263.OF
219,000294.OF
220,000308.OF
221,000339.OF
222,000354.OF
223,000432.OF
224,000522.OF
225,000532.OF
226,000547.OF
227,000550.OF
228,000551.OF
229,000589.OF
230,000591.OF
231,000601.OF
232,000612.OF
233,000646.OF
234,000749.OF
235,000800.OF
236,000940.OF
237,000945.OF
238,000946.OF
239,000965.OF
240,001000.OF
241,001076.OF
242,001088.OF
243,001118.OF
244,001144.OF
245,001256.OF
246,001267.OF
247,001268.OF
248,001306.OF
249,001307.OF
250,001349.OF
251,001403.OF
252,001463.OF
253,001475.OF
254,001495.OF
255,001513.OF
256,001614.OF
257,001622.OF
258,001811.OF
259,001824.OF
260,001881.OF
261,001882.OF
262,001883.OF
263,001886.OF
264,001888.OF
265,001955.OF
266,001985.OF
267,002001.OF
268,002011.OF
269,002021.OF
270,002162.OF
271,002173.OF
272,002174.OF
273,002179.OF
274,002305.OF
275,002340.OF
276,002440.OF
277,002553.OF
278,002562.OF
279,002593.OF
280,002692.OF
281,002708.OF
282,003095.OF
283,003096.OF
284,003567.OF
285,004065.OF
286,004076.OF
287,004112.OF
288,004221.OF
289,020001.OF
290,020003.OF
291,020005.OF
292,020009.OF
293,020010.OF
294,020015.OF
295,020023.OF
296,020026.OF
297,040001.OF
298,040004.OF
299,040005.OF
300,040007.OF
301,040008.OF
302,040011.OF
303,040016.OF
304,040020.OF
305,040025.OF
306,040035.OF
307,050001.OF
308,050004.OF
309,050007.OF
310,050008.OF
311,050009.OF
312,050010.OF
313,050014.OF
314,050018.OF
315,050026.OF
316,050201.OF
317,070001.OF
318,070002.OF
319,070003.OF
320,070006.OF
321,070010.OF
322,070011.OF
323,070013.OF
324,070017.OF
325,070019.OF
326,070021.OF
327,070022.OF
328,070027.OF
329,070032.OF
330,070099.OF
331,080001.OF
332,080005.OF
333,080007.OF
334,080012.OF
335,080015.OF
336,090001.OF
337,090003.OF
338,090004.OF
339,090007.OF
340,090009.OF
341,090011.OF
342,090013.OF
343,090015.OF
344,090016.OF
345,090018.OF
346,090020.OF
347,100016.OF
348,100020.OF
349,100022.OF
350,100026.OF
351,100039.OF
352,100056.OF
353,100060.OF
354,110001.OF
355,110002.OF
356,110005.OF
357,110009.OF
358,110011.OF
359,110013.OF
360,110015.OF
361,110023.OF
362,110025.OF
363,110029.OF
364,112002.OF
365,121002.OF
366,121003.OF
367,121005.OF
368,121008.OF
369,151001.OF
370,160105.OF
371,160106.OF
372,160211.OF
373,160212.OF
374,160215.OF
375,160311.OF
376,160314.OF
377,160505.OF
378,160512.OF
379,160603.OF
380,160605.OF
381,160607.OF
382,160610.OF
383,160611.OF
384,160613.OF
385,160805.OF
386,160910.OF
387,160916.OF
388,160918.OF
389,161005.OF
390,161601.OF
391,161605.OF
392,161606.OF
393,161609.OF
394,161610.OF
395,161611.OF
396,161616.OF
397,161706.OF
398,161810.OF
399,161818.OF
400,161903.OF
401,162006.OF
402,162102.OF
403,162201.OF
404,162202.OF
405,162203.OF
406,162204.OF
407,162207.OF
408,162209.OF
409,162212.OF
410,162214.OF
411,162605.OF
412,162607.OF
413,162703.OF
414,163302.OF
415,163406.OF
416,163409.OF
417,163412.OF
418,163415.OF
419,163503.OF
420,163801.OF
421,163803.OF
422,163804.OF
423,163805.OF
424,163818.OF
425,163822.OF
426,165313.OF
427,165508.OF
428,165512.OF
429,165516.OF
430,166001.OF
431,166005.OF
432,166006.OF
433,166009.OF
434,166011.OF
435,166801.OF
436,180001.OF
437,180010.OF
438,180012.OF
439,180013.OF
440,180031.OF
441,200006.OF
442,200008.OF
443,200010.OF
444,200012.OF
445,200015.OF
446,202001.OF
447,202002.OF
448,202003.OF
449,202005.OF
450,202007.OF
451,202009.OF
452,202011.OF
453,202019.OF
454,206002.OF
455,206007.OF
456,206009.OF
457,210003.OF
458,210004.OF
459,210005.OF
460,210008.OF
461,210009.OF
462,213002.OF
463,213003.OF
464,213008.OF
465,217001.OF
466,217005.OF
467,217009.OF
468,217010.OF
469,217012.OF
470,217013.OF
471,229002.OF
472,233001.OF
473,233006.OF
474,233007.OF
475,233009.OF
476,233011.OF
477,233015.OF
478,240001.OF
479,240004.OF
480,240005.OF
481,240008.OF
482,240009.OF
483,240010.OF
484,240011.OF
485,240017.OF
486,240020.OF
487,240022.OF
488,257010.OF
489,257020.OF
490,257030.OF
491,257040.OF
492,257050.OF
493,257070.OF
494,260101.OF
495,260104.OF
496,260108.OF
497,260109.OF
498,260110.OF
499,260111.OF
500,260112.OF
501,260115.OF
502,260116.OF
503,260117.OF
504,270001.OF
505,270002.OF
506,270005.OF
507,270006.OF
508,270007.OF
509,270008.OF
510,270021.OF
511,270025.OF
512,270028.OF
513,270041.OF
514,270050.OF
515,288001.OF
516,288002.OF
517,290002.OF
518,290004.OF
519,290006.OF
520,290008.OF
521,290011.OF
522,290014.OF
523,310308.OF
524,310328.OF
525,310358.OF
526,310368.OF
527,310388.OF
528,320001.OF
529,320003.OF
530,320005.OF
531,320007.OF
532,320011.OF
533,320012.OF
534,320016.OF
535,340007.OF
536,360005.OF
537,360006.OF
538,360007.OF
539,360010.OF
540,360012.OF
541,360016.OF
542,370024.OF
543,370027.OF
544,373010.OF
545,373020.OF
546,375010.OF
547,377010.OF
548,377020.OF
549,377150.OF
550,377240.OF
551,377530.OF
552,378010.OF
553,379010.OF
554,398001.OF
555,398011.OF
556,398021.OF
557,398041.OF
558,398061.OF
559,400003.OF
560,400007.OF
561,400011.OF
562,400032.OF
563,410001.OF
564,410003.OF
565,410009.OF
566,420003.OF
567,420005.OF
568,450002.OF
569,450003.OF
570,450004.OF
571,450007.OF
572,450011.OF
573,460001.OF
574,460002.OF
575,460005.OF
576,460007.OF
577,460009.OF
578,470006.OF
579,470008.OF
580,470009.OF
581,470028.OF
582,470098.OF
583,481001.OF
584,481004.OF
585,481006.OF
586,481008.OF
587,481010.OF
588,481013.OF
589,481015.OF
590,481017.OF
591,483003.OF
592,510081.OF
593,519001.OF
594,519002.OF
595,519005.OF
596,519008.OF
597,519011.OF
598,519013.OF
599,519015.OF
600,519017.OF
601,519018.OF
602,519019.OF
603,519021.OF
604,519025.OF
605,519026.OF
606,519033.OF
607,519035.OF
608,519039.OF
609,519056.OF
610,519068.OF
611,519069.OF
612,519087.OF
613,519089.OF
614,519093.OF
615,519095.OF
616,519097.OF
617,519099.OF
618,519110.OF
619,519115.OF
620,519150.OF
621,519158.OF
622,519181.OF
623,519185.OF
624,519654.OF
625,519664.OF
626,519665.OF
627,519668.OF
628,519670.OF
629,519672.OF
630,519674.OF
631,519678.OF
632,519679.OF
633,519688.OF
634,519692.OF
635,519694.OF
636,519698.OF
637,519702.OF
638,519704.OF
639,519712.OF
640,519727.OF
641,519732.OF
642,519736.OF
643,519778.OF
644,519915.OF
645,519979.OF
646,519983.OF
647,519987.OF
648,519993.OF
649,519994.OF
650,519996.OF
651,530001.OF
652,530003.OF
