510010.SH,上证180公司治理交易型开放式指数证券投资基金
510020.SH,上证超级大盘交易型开放式指数证券投资基金
510030.SH,上证180价值交易型开放式指数证券投资基金
510050.SH,上证50交易型开放式指数证券投资基金
510060.SH,上证中央企业50交易型开放式指数证券投资基金
510070.SH,上证民营企业50交易型指数证券投资基金
510090.SH,上证社会责任交易型开放式指数证券投资基金
510110.SH,上证周期行业50交易型开放式指数证券投资基金
510120.SH,上证非周期行业100交易型开放式指数证券投资基金
510130.SH,易方达上证中盘交易型开放式指数证券投资基金
510150.SH,上证消费80交易型开放式指数证券投资基金
510160.SH,中证南方小康产业交易型开放式指数证券投资基金
510170.SH,上证大宗商品股票交易型开放式指数证券投资基金
510180.SH,上证180交易型开放式指数证券投资基金
510190.SH,上证龙头企业交易型开放式指数证券投资基金
510210.SH,上证综指交易型开放式指数证券投资基金
510220.SH,上证中小盘交易型开放式指数证券投资基金
510230.SH,上证180金融交易型开放式指数证券投资基金
510260.SH,上证新兴产业交易型开放式指数证券投资基金
510270.SH,上证国有企业100交易型开放式指数证券投资基金
510280.SH,上证180成长交易型开放式指数证券投资基金
510290.SH,上证380交易型开放式指数证券投资基金
510300.SH,华泰柏瑞沪深300交易型开放式指数证券投资基金
510310.SH,易方达沪深300交易型开放式指数发起式证券投资基金
510330.SH,华夏沪深300交易型开放式指数证券投资基金
510360.SH,广发沪深300交易型开放式指数证券投资基金
510410.SH,上证自然资源交易型开放式指数证券投资基金
510420.SH,上证180等权重交易型开放式指数证券投资基金
510430.SH,上证50等权重交易型开放式指数证券投资基金
510440.SH,中证500沪市交易型开放式指数证券投资基金
510500.SH,中证500交易型开放式指数证券投资基金
510510.SH,广发中证500交易型开放式指数证券投资基金
510520.SH,诺安中证500交易型开放式指数证券投资基金
510560.SH,国寿安保中证500交易型开放式指数证券投资基金
510580.SH,易方达中证500交易型开放式指数证券投资基金
510630.SH,上证主要消费交易型开放式指数发起式证券投资基金
510650.SH,上证金融地产交易型开放式指数发起式证券投资基金
510660.SH,上证医药卫生交易型开放式指数发起式证券投资基金
510680.SH,万家上证50交易型开放式指数证券投资基金
510710.SH,博时上证50交易型开放式指数证券投资基金
510810.SH,中证上海国企交易型开放式指数证券投资基金
510880.SH,上证红利交易型开放式指数证券投资基金
510900.SH,易方达恒生中国企业交易型开放式指数证券投资基金
511010.SH,上证5年期国债交易型开放式指数证券投资基金
511210.SH,上证企债30交易型开放式指数证券投资基金
511220.SH,上证可质押城投债交易型开放式指数证券投资基金
511230.SH,上证周期产业债交易型开放式指数证券投资基金
511600.SH,华安日日鑫货币市场基金
511650.SH,华夏快线交易型货币市场基金
511660.SH,建信现金添益交易型货币市场基金
511680.SH,安信保证金交易型货币市场基金
511690.SH,大成添益交易型货币市场基金
511700.SH,平安大华交易型货币市场基金
511760.SH,德邦现金宝交易型货币市场基金
511770.SH,金鹰现金增益交易型货币市场基金
511800.SH,易方达货币市场基金
511810.SH,南方理财金交易型货币市场基金
511820.SH,鹏华添利交易型货币市场基金
511830.SH,华泰柏瑞交易型货币市场基金
511850.SH,招商财富宝交易型货币市场基金
511860.SH,博时保证金实时交易型货币市场基金
511880.SH,银华交易型货币市场基金
511890.SH,景顺长城交易型货币市场基金
511900.SH,富国收益宝交易型货币市场基金
511910.SH,融通易支付货币市场证券投资基金
511920.SH,广发货币市场基金
511930.SH,中融日日盈交易型货币市场基金
511950.SH,广发添利交易型货币市场基金
511960.SH,嘉实快线货币市场基金
511970.SH,国寿安保货币市场基金
511980.SH,汇添富添富通货币市场基金
511990.SH,华宝兴业现金添益交易型货币市场基金
512000.SH,华宝兴业中证全指证券公司交易型开放式指数证券投资基金
512010.SH,易方达沪深300医药卫生交易型开放式指数证券投资基金
512070.SH,易方达沪深300非银行金融交易型开放式指数证券投资基金
512100.SH,南方中证1000交易型开放式指数证券投资基金
512120.SH,华安中证细分医药交易型开放式指数证券投资基金
512210.SH,景顺长城中证800食品饮料交易型开放式指数证券投资基金
512220.SH,景顺长城中证TMT150交易型开放式指数证券投资基金
512230.SH,景顺长城中证医药卫生交易型开放式指数证券投资基金
512300.SH,中证500医药卫生指数交易型开放式指数证券投资基金
512310.SH,中证500工业指数交易型开放式指数证券投资基金
512330.SH,中证500信息技术指数交易型开放式指数证券投资基金
